Year, Ports
2011,8
2012,42
2013,85
2014,169
2015,423
2016,845
2017,1690
2018,3381
2019,4818
2020,6345
2021,7886
2022,9427
2023,11059
2024,12418
2025,13778
2026,14866
2027,15863
2028,16950
2029,18129
2030,19307
2031,21069
2032,22377
2033,23685
2034,24992
2035,26300
2036,27608
2037,28915
2038,30223
2039,31531
2040,32838
