year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,75182,1303.5563613478375,0,12000,12000,0,5377.16,5377.16,31.0
2020,76175,1478.8959534604955,0,12000,12000,0,3840.32,3840.32,32.1
2021,77282,1785.9167627683964,0,12000,12000,0,2741.24,2741.24,33.4
2022,78620,2092.9375720762973,0,12000,12000,0,1642.17,1642.17,34.7
2023,79728,2399.958381384198,0,12000,12000,0,821.08,821.08,36.6
2024,80950,2706.979190692099,0,12000,12000,0,0.0,0.0,37.5
2025,82134,3014.0,0,12000,12000,0,0.0,0.0,39.6
2026,83165,4420.8,0,12400,12400,0,0.0,0.0,39.6
2027,84388,5827.6,0,12800,12800,0,0.0,0.0,39.5
2028,85533,7234.400000000001,0,13200,13200,0,0.0,0.0,39.4
2029,86680,8641.2,0,13600,13600,0,0.0,0.0,39.3
2030,87520,10048.0,0,14000,14000,0,0.0,0.0,39.2
