Year, Ports
2011,0
2012,1
2013,2
2014,5
2015,12
2016,24
2017,49
2018,98
2019,139
2020,184
2021,228
2022,273
2023,320
2024,360
2025,399
2026,430
2027,459
2028,491
2029,525
2030,559
2031,610
2032,648
2033,686
2034,724
2035,762
2036,799
2037,837
2038,875
2039,913
2040,951
