year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,7848097,147220.12624693912,0,12000,12000,0,5377.16,5377.16,31.0
2020,7951731,167022.50507175794,0,12000,12000,0,3840.32,3840.32,32.1
2021,8067344,201696.60405740637,0,12000,12000,0,2741.24,2741.24,33.4
2022,8206972,236370.7030430548,0,12000,12000,0,1642.17,1642.17,34.7
2023,8322621,271044.8020287032,0,12000,12000,0,821.08,821.08,36.6
2024,8450210,305718.90101435164,0,12000,12000,0,0.0,0.0,37.5
2025,8573820,340393.0,0,12000,12000,0,0.0,0.0,39.6
2026,8681474,499243.6,0,12400,12400,0,0.0,0.0,39.6
2027,8809068,658094.2,0,12800,12800,0,0.0,0.0,39.5
2028,8928687,816944.7999999999,0,13200,13200,0,0.0,0.0,39.4
2029,9048358,975795.3999999999,0,13600,13600,0,0.0,0.0,39.3
2030,9136039,1134646.0,0,14000,14000,0,0.0,0.0,39.2
