Year, Ports
2011,1
2012,5
2013,10
2014,20
2015,50
2016,99
2017,199
2018,398
2019,567
2020,746
2021,927
2022,1109
2023,1300
2024,1460
2025,1620
2026,1748
2027,1865
2028,1993
2029,2132
2030,2270
2031,2478
2032,2631
2033,2785
2034,2939
2035,3093
2036,3246
2037,3400
2038,3554
2039,3708
2040,3861
