Year, Ports
2011,0
2012,0
2013,0
2014,0
2015,1
2016,2
2017,4
2018,9
2019,13
2020,17
2021,21
2022,25
2023,29
2024,33
2025,36
2026,39
2027,42
2028,44
2029,48
2030,51
2031,55
2032,59
2033,62
2034,66
2035,69
2036,72
2037,76
2038,79
2039,83
2040,86
