year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,6816,97.74510207850408,0,12000,12000,0,5377.16,5377.16,31.0
2020,6906,110.89266273459589,0,12000,12000,0,3840.32,3840.32,32.1
2021,7007,133.9141301876767,0,12000,12000,0,2741.24,2741.24,33.4
2022,7128,156.93559764075752,0,12000,12000,0,1642.17,1642.17,34.7
2023,7228,179.95706509383834,0,12000,12000,0,821.08,821.08,36.6
2024,7339,202.97853254691915,0,12000,12000,0,0.0,0.0,37.5
2025,7447,226.0,0,12000,12000,0,0.0,0.0,39.6
2026,7540,331.6,0,12400,12400,0,0.0,0.0,39.6
2027,7651,437.20000000000005,0,12800,12800,0,0.0,0.0,39.5
2028,7755,542.8000000000001,0,13200,13200,0,0.0,0.0,39.4
2029,7859,648.4000000000001,0,13600,13600,0,0.0,0.0,39.3
2030,7935,754.0,0,14000,14000,0,0.0,0.0,39.2
