Load Profile, Charger Assignment
Sonoma_Residential_L2,Residential L2
Sonoma_Residential_MUD,Residential L2
Sonoma_Public_L2,Public L2
Sonoma_Workplace_L2,Workplace L2
Sonoma_Public_DCFC,DCFC
