Timestep,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
0,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,0,0,0,0,0,0,0,0,0,0
1,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,0,0,0,0,0,0,0,0,0,0
2,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,0,0,0,0,0,0,0,0,0,0
3,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,0,0,0,0,0,0,0,0,0,0
4,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,0,0,0,0,0,0,0,0,0,0
5,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,0,0,0,0,0,0,0,0,0,0
6,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,0,0,0,0,0,0,0,0,0,0
7,1.022903,1.022903,1.022903,1.022903,1.022903,1.022903,1.022903,1.022903,1.022903,1.022903,1.022903,1.022903,1.022903,1.022903,1.022903,1.022903,1.022903,1.022903,1.022903,1.022903,1.022903,0,0,0,0,0,0,0,0,0,0
8,8.191668,8.191668,8.191668,8.191668,8.191668,8.191668,8.191668,8.191668,8.191668,8.191668,8.191668,8.191668,8.191668,8.191668,8.191668,8.191668,8.191668,8.191668,8.191668,8.191668,8.191668,0,0,0,0,0,0,0,0,0,0
9,8.029858,8.029858,8.029858,8.029858,8.029858,8.029858,8.029858,8.029858,8.029858,8.029858,8.029858,8.029858,8.029858,8.029858,8.029858,8.029858,8.029858,8.029858,8.029858,8.029858,8.029858,0,0,0,0,0,0,0,0,0,0
10,13.66777,13.66777,13.66777,13.66777,13.66777,13.66777,13.66777,13.66777,13.66777,13.66777,13.66777,13.66777,13.66777,13.66777,13.66777,13.66777,13.66777,13.66777,13.66777,13.66777,13.66777,0,0,0,0,0,0,0,0,0,0
11,13.7012138,13.7012138,13.7012138,13.7012138,13.7012138,13.7012138,13.7012138,13.7012138,13.7012138,13.7012138,13.7012138,13.7012138,13.7012138,13.7012138,13.7012138,13.7012138,13.7012138,13.7012138,13.7012138,13.7012138,13.7012138,0,0,0,0,0,0,0,0,0,0
12,17.0195993,17.0195993,17.0195993,17.0195993,17.0195993,17.0195993,17.0195993,17.0195993,17.0195993,17.0195993,17.0195993,17.0195993,17.0195993,17.0195993,17.0195993,17.0195993,17.0195993,17.0195993,17.0195993,17.0195993,17.0195993,0,0,0,0,0,0,0,0,0,0
13,17.170017,17.170017,17.170017,17.170017,17.170017,17.170017,17.170017,17.170017,17.170017,17.170017,17.170017,17.170017,17.170017,17.170017,17.170017,17.170017,17.170017,17.170017,17.170017,17.170017,17.170017,0,0,0,0,0,0,0,0,0,0
14,17.343491,17.343491,17.343491,17.343491,17.343491,17.343491,17.343491,17.343491,17.343491,17.343491,17.343491,17.343491,17.343491,17.343491,17.343491,17.343491,17.343491,17.343491,17.343491,17.343491,17.343491,0,0,0,0,0,0,0,0,0,0
15,17.325369,17.325369,17.325369,17.325369,17.325369,17.325369,17.325369,17.325369,17.325369,17.325369,17.325369,17.325369,17.325369,17.325369,17.325369,17.325369,17.325369,17.325369,17.325369,17.325369,17.325369,0,0,0,0,0,0,0,0,0,0
16,17.8650322,17.8650322,17.8650322,17.8650322,17.8650322,17.8650322,17.8650322,17.8650322,17.8650322,17.8650322,17.8650322,17.8650322,17.8650322,17.8650322,17.8650322,17.8650322,17.8650322,17.8650322,17.8650322,17.8650322,17.8650322,0,0,0,0,0,0,0,0,0,0
17,14.39882,14.39882,14.39882,14.39882,14.39882,14.39882,14.39882,14.39882,14.39882,14.39882,14.39882,14.39882,14.39882,14.39882,14.39882,14.39882,14.39882,14.39882,14.39882,14.39882,14.39882,0,0,0,0,0,0,0,0,0,0
18,10.24692205,10.24692205,10.24692205,10.24692205,10.24692205,10.24692205,10.24692205,10.24692205,10.24692205,10.24692205,10.24692205,10.24692205,10.24692205,10.24692205,10.24692205,10.24692205,10.24692205,10.24692205,10.24692205,10.24692205,10.24692205,0,0,0,0,0,0,0,0,0,0
19,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,0,0,0,0,0,0,0,0,0,0
20,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,0,0,0,0,0,0,0,0,0,0
21,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,0,0,0,0,0,0,0,0,0,0
22,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,0,0,0,0,0,0,0,0,0,0
23,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,0,0,0,0,0,0,0,0,0,0
24,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,0,0,0,0,0,0,0,0,0,0
25,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,0,0,0,0,0,0,0,0,0,0
26,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,0,0,0,0,0,0,0,0,0,0
27,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,0,0,0,0,0,0,0,0,0,0
28,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,0,0,0,0,0,0,0,0,0,0
29,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,0,0,0,0,0,0,0,0,0,0
30,7.204326,7.204326,7.204326,7.204326,7.204326,7.204326,7.204326,7.204326,7.204326,7.204326,7.204326,7.204326,7.204326,7.204326,7.204326,7.204326,7.204326,7.204326,7.204326,7.204326,7.204326,0,0,0,0,0,0,0,0,0,0
31,10.2248,10.2248,10.2248,10.2248,10.2248,10.2248,10.2248,10.2248,10.2248,10.2248,10.2248,10.2248,10.2248,10.2248,10.2248,10.2248,10.2248,10.2248,10.2248,10.2248,10.2248,0,0,0,0,0,0,0,0,0,0
32,16.29855,16.29855,16.29855,16.29855,16.29855,16.29855,16.29855,16.29855,16.29855,16.29855,16.29855,16.29855,16.29855,16.29855,16.29855,16.29855,16.29855,16.29855,16.29855,16.29855,16.29855,0,0,0,0,0,0,0,0,0,0
33,23.8361182,23.8361182,23.8361182,23.8361182,23.8361182,23.8361182,23.8361182,23.8361182,23.8361182,23.8361182,23.8361182,23.8361182,23.8361182,23.8361182,23.8361182,23.8361182,23.8361182,23.8361182,23.8361182,23.8361182,23.8361182,0,0,0,0,0,0,0,0,0,0
34,23.812616,23.812616,23.812616,23.812616,23.812616,23.812616,23.812616,23.812616,23.812616,23.812616,23.812616,23.812616,23.812616,23.812616,23.812616,23.812616,23.812616,23.812616,23.812616,23.812616,23.812616,0,0,0,0,0,0,0,0,0,0
