Load Profile, Charger Assignment
LowAdoption_Fresno_Residential L1_e19controlled_load,Residential L1
LowAdoption_Fresno_Residential L2_e19controlled_load,Residential L2
LowAdoption_Fresno_Residential MUD_e19controlled_load,Residential L2
LowAdoption_Fresno_Public L2_e19controlled_load,Public L2
LowAdoption_Fresno_Work_e19controlled_load,Workplace L2
LowAdoption_Fresno_Fast_e19controlled_load,DCFC
