Load Profile, Charger Assignment
Marin_Residential_L2,Residential L2
Marin_Residential_MUD,Residential L2
Marin_Public_L2,Public L2
Marin_Workplace_L2,Workplace L2
Marin_Public_DCFC,DCFC
