,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
0,0.47029219081794915,0.5335505533689366,0.644316373181145,0.7550821929933533,0.8658480128055618,0.9766138326177702,1.0873796524299784,1.5948257008910651,2.102271749352152,2.6097177978132384,3.1171638462743254,5.115805109238637,5.052546746687649,4.941780926875441,4.831015107063233,4.720249287251025,4.6094834674388165,4.498717647626608,3.991271599165522,3.4838255507044353,2.976379502243349,2.468933453782262
1,0.3969803660303897,0.4503776548016488,0.5438766678646325,0.6373756809276163,0.7308746939906001,0.8243737070535839,0.9178727201165674,1.3462151888877258,1.7745576576588844,2.2029001264300434,2.631242595201202,4.545680376026029,4.49228308725477,4.398784074191786,4.305285061128802,4.211786048065818,4.118287035002834,4.024788021939851,3.5964455531686923,3.1681030843975337,2.7397606156263747,2.311418146855216
2,0.5276740661416763,0.5986507866495984,0.7229315033422761,0.8472122200349537,0.9714929367276315,1.095773653420309,1.2200543701129867,1.789415556555992,2.358776742998997,2.9281379294420025,3.497499115885008,5.348096100030192,5.27711937952227,5.152838662829593,5.028557946136916,4.904277229444238,4.779996512751561,4.6557157960588835,4.086354609615878,3.5169934231728726,2.9476322367298673,2.3782710502868616
3,0.7866449085163641,0.892455444590265,1.0777304074625365,1.263005370334808,1.4482803332070795,1.633555296079351,1.818830258951622,2.667621410840396,3.51641256272917,4.365203714617944,5.2139948665067175,8.270164428754276,8.164353892680374,7.979078929808103,7.793803966935831,7.60852900406356,7.423254041191289,7.237979078319017,6.389187926430243,5.5403967745414695,4.691605622652696,3.842814470763922
4,1.1930475172185748,1.353522715102485,1.6345158697831892,1.9155090244638935,2.1965021791445976,2.477495333825302,2.7584884885060053,4.0457887245272115,5.333088960548418,6.620389196569624,7.90768943259083,11.766443445035344,11.605968247151434,11.32497509247073,11.043981937790026,10.762988783109321,10.481995628428617,10.201002473747913,8.913702237726707,7.6264020017055,6.339101765684294,5.051801529663088
5,1.771092555254815,2.009319804524691,2.4264573259980993,2.843594847471508,3.2607323689449164,3.6778698904183247,4.095007411891732,6.006019195990878,7.917030980090023,9.828042764189169,11.739054548288314,16.422850209048836,16.18462295977896,15.76748543830555,15.350347916832142,14.933210395358733,14.516072873885324,14.098935352411917,12.187923568312772,10.276911784213627,8.365900000114483,6.454888216015338
6,2.736706813651767,3.104817522682775,3.749381858893788,4.393946195104801,5.038510531315815,5.6830748675268286,6.32763920373784,9.280550363008398,12.233461522278958,15.186372681549518,18.139283840820077,22.811251423530653,22.443140714499645,21.798576378288633,21.15401204207762,20.509447705866606,19.864883369655594,19.220319033444582,16.267407874174026,13.314496714903466,10.361585555632907,7.408674396362347
7,3.4509458476255888,3.915127877085289,4.727913743835419,5.540699610585549,6.353485477335681,7.1662713440858115,7.97905721083594,11.702633464111813,15.426209717387685,19.149785970663558,22.873362223939427,29.118400312564585,28.654218283104886,27.841432416354756,27.028646549604627,26.215860682854494,25.403074816104365,24.590288949354235,20.866712696078363,17.14313644280249,13.419560189526617,9.695983936250748
8,4.569578715736919,5.18422652990243,6.260479001296221,7.336731472690013,8.412983944083804,9.489236415477595,10.565488886871384,15.49607184722125,20.426654807571115,25.35723776792098,30.287820728270848,38.277633811922875,37.66298599775737,36.586733526363574,35.51048105496978,34.43422858357599,33.35797611218219,32.28172364078841,27.35114068043854,22.420557720088674,17.489974759738807,12.55939179938894
9,5.547588166645188,6.293786701047506,7.600385371525596,8.906984042003685,10.213582712481776,11.520181382959866,12.82678005343795,18.81263682209375,24.798493590749548,30.78435035940535,36.77020712806115,45.705934030915216,44.9597354965129,43.65313682603481,42.34653815555672,41.039939485078634,39.733340814600545,38.42674214412246,32.44088537546666,26.45502860681086,20.469171838155056,14.483315069499255
10,6.357392038677225,7.2125161898181505,8.70984435043879,10.207172511059426,11.704500671680064,13.2018288323007,14.699156992921335,21.558793473241995,28.418429953562658,35.278066433883325,42.137702914203985,55.43055571359228,54.57543156245135,53.07810340183071,51.58077524121008,50.08344708058944,48.5861189199688,47.088790759348164,40.229154279027505,33.36951779870684,26.50988131838617,19.65024483806551
11,7.234729529847533,8.207863152928658,9.911826695464626,11.615790238000596,13.319753780536566,15.023717323072537,16.7276808656085,24.533965943871703,32.3402510221349,40.14653610039811,47.95282117866131,62.96374480745471,61.990611184373584,60.28664764183762,58.582684099301645,56.87872055676567,55.1747570142297,53.47079347169373,45.66450839343053,37.858223315167336,30.051938236904128,22.245653158640927
12,7.312188723362953,8.2957412771471,10.017948437670444,11.740155598193788,13.46236275871713,15.184569919240475,16.906777079763813,24.796640755404997,32.68650443104618,40.57636810668736,48.46623178232855,62.69511315296018,61.71156059917604,59.98935343865269,58.267146278129346,56.544939117606006,54.82273195708266,53.10052479655932,45.21066112091813,37.32079744527695,29.43093376963577,21.541070093994584
13,7.496184923118346,8.50448655532518,10.270029519219598,12.035572483114013,13.801115447008428,15.566658410902843,17.332201374797254,25.420597253015185,33.50899313123312,41.59738900945104,49.68578488766897,61.3586604310228,60.35035879881596,58.58481583492154,56.819272871027124,55.053729907132706,53.28818694323829,51.522643979343876,43.434248101125945,35.34585222290801,27.257456344690084,19.169060466472153
14,7.8963115079923245,8.958433622585279,10.818216614418796,12.677999606252316,14.537782598085833,16.397565589919353,18.257348581752865,26.77748170405599,35.297614826359116,43.81774794866224,52.337881070965366,65.12210132834201,64.05997921374906,62.20019622191554,60.34041323008202,58.4806302382485,56.62084724641498,54.76106425458147,46.24093113227835,37.720798009975226,29.200664887672104,20.680531765368976
