,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012099999999999997,0.0012099999999999997,0.0012099999999999997,0.0012099999999999997,0.0012099999999999997,0.0012099999999999997,0.0012099999999999997,0.0012099999999999997,0.0012099999999999997,0.0012099999999999997,0.0012099999999999997
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014970189082458715,0.014970189082458715,0.014970189082458715,0.014970189082458715,0.014970189082458715,0.014970189082458715,0.014970189082458715,0.014970189082458715,0.014970189082458715,0.014970189082458715,0.014970189082458715
7,0.007754733098529107,0.008797811693943825,0.01062424935515506,0.012450687016366296,0.014277124677577531,0.016103562338788766,0.017929999999999998,0.026297333333333336,0.03466466666666667,0.043032,0.05139933333333334,0.029490555740215914,0.028447477144801198,0.026621039483589962,0.024794601822378727,0.022968164161167492,0.021141726499956257,0.019315288838745025,0.010947955505411687,0.0025806221720783527,-0.005786711161254978,-0.014154044494588316
8,0.01033834003118086,0.01172893607899188,0.014163879145045048,0.016598822211098218,0.01903376527715139,0.021468708343204558,0.023903651409257723,0.035058688733577995,0.04621372605789827,0.057368763382218545,0.06852380070653882,0.06861116222237167,0.06722056617456065,0.06478562310850748,0.06235068004245431,0.05991573697640114,0.057480793910347966,0.0550458508442948,0.04389081351997453,0.03273577619565425,0.02158073887133398,0.0104257015470137
9,0.014883825635696908,0.016885828766072218,0.02039134976061094,0.023896870755149655,0.02740239174968838,0.0309079127442271,0.03441343373876582,0.05047303615018987,0.06653263856161393,0.08259224097303798,0.09865184338446202,0.08778537578101674,0.08578337265064143,0.08227785165610271,0.078772330661564,0.07526680966702527,0.07176128867248655,0.06825576767794783,0.05219616526652378,0.036136562855099724,0.02007696044367567,0.004017358032251631
