Year, Ports
2011,0
2012,2
2013,4
2014,8
2015,19
2016,38
2017,77
2018,153
2019,218
2020,287
2021,357
2022,427
2023,501
2024,562
2025,624
2026,673
2027,718
2028,767
2029,821
2030,874
2031,954
2032,1013
2033,1072
2034,1131
2035,1191
2036,1250
2037,1309
2038,1368
2039,1428
2040,1487
