Year, Ports
2011,0
2012,2
2013,4
2014,8
2015,20
2016,40
2017,80
2018,159
2019,227
2020,299
2021,372
2022,445
2023,522
2024,586
2025,650
2026,701
2027,748
2028,799
2029,855
2030,911
2031,994
2032,1055
2033,1117
2034,1179
2035,1240
2036,1302
2037,1364
2038,1425
2039,1487
2040,1549
