year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,122450,1921.1670063394474,0,12000,12000,0,5377.16,5377.16,31.0
2020,124067,2179.5805657835176,0,12000,12000,0,3840.32,3840.32,32.1
2021,125871,2632.0644526268143,0,12000,12000,0,2741.24,2741.24,33.4
2022,128050,3084.548339470111,0,12000,12000,0,1642.17,1642.17,34.7
2023,129854,3537.0322263134076,0,12000,12000,0,821.08,821.08,36.6
2024,131845,3989.5161131567043,0,12000,12000,0,0.0,0.0,37.5
2025,133774,4442.0,0,12000,12000,0,0.0,0.0,39.6
2026,135453,6515.2,0,12400,12400,0,0.0,0.0,39.6
2027,137444,8588.4,0,12800,12800,0,0.0,0.0,39.5
2028,139310,10661.599999999999,0,13200,13200,0,0.0,0.0,39.4
2029,141178,12734.8,0,13600,13600,0,0.0,0.0,39.3
2030,142546,14808.0,0,14000,14000,0,0.0,0.0,39.2
