year, ldv_population, total_population, vehicle_miles_traveled, ldv_price, new_vehicle_mpg,BEV100_population,PHEV10_population,PHEV20_population,PHEV40_population,BEV100_vmt,PHEV10_vmt,PHEV20_vmt,PHEV40_vmt
2011,18,13075,9833,0.0,0.0,12.6,1.8,1.8,1.8,9833,3244.8900000000003,4916.5,7374.75
2012,52,13257,9833,0.0,0.0,36.4,5.2,5.2,5.2,9833,3244.8900000000003,4916.5,7374.75
2013,104,13442,9833,0.0,0.0,72.8,10.4,10.4,10.4,9833,3244.8900000000003,4916.5,7374.75
2014,158,13629,9833,0.0,0.0,110.6,15.8,15.8,15.8,9833,3244.8900000000003,4916.5,7374.75
2015,167,13818,9833,15603.57,0.0,116.89999999999999,16.7,16.7,16.7,9833,3244.8900000000003,4916.5,7374.75
2016,196,14011,9833,11258.79,0.0,137.2,19.6,19.6,19.6,9833,3244.8900000000003,4916.5,7374.75
2017,257,14205,9833,6914.0,29.9,179.89999999999998,25.700000000000003,25.700000000000003,25.700000000000003,9833,3244.8900000000003,4916.5,7374.75
2018,415,14403,9833,5377.16,31.0,290.5,41.5,41.5,41.5,9833,3244.8900000000003,4916.5,7374.75
2019,424,14603,9833,3840.32,32.1,296.79999999999995,42.400000000000006,42.400000000000006,42.400000000000006,9833,3244.8900000000003,4916.5,7374.75
2020,560,14796,9833,2741.24,33.4,392.0,56.0,56.0,56.0,9833,3244.8900000000003,4916.5,7374.75
2021,696,15011,9833,1642.17,34.7,487.2,69.60000000000001,69.60000000000001,69.60000000000001,9833,3244.8900000000003,4916.5,7374.75
2022,832,15271,9833,821.08,36.6,582.4,83.2,83.2,83.2,9833,3244.8900000000003,4916.5,7374.75
2023,976,15486,9833,0.0,37.5,683.1999999999999,97.60000000000001,97.60000000000001,97.60000000000001,9833,3244.8900000000003,4916.5,7374.75
2024,1096,15724,9833,0.0,39.6,767.1999999999999,109.60000000000001,109.60000000000001,109.60000000000001,9833,3244.8900000000003,4916.5,7374.75
2025,1216,15954,9833,0.0,39.6,851.1999999999999,121.60000000000001,121.60000000000001,121.60000000000001,9833,3244.8900000000003,4916.5,7374.75
2026,1312,16154,9833,0.0,39.5,918.4,131.20000000000002,131.20000000000002,131.20000000000002,9833,3244.8900000000003,4916.5,7374.75
2027,1400,16392,9833,0.0,39.4,979.9999999999999,140.0,140.0,140.0,9833,3244.8900000000003,4916.5,7374.75
2028,1497,16614,9833,0.0,39.3,1047.8999999999999,149.70000000000002,149.70000000000002,149.70000000000002,9833,3244.8900000000003,4916.5,7374.75
2029,1601,16837,9833,0.0,39.2,1120.6999999999998,160.10000000000002,160.10000000000002,160.10000000000002,9833,3244.8900000000003,4916.5,7374.75
2030,1705,17000,9833,0.0,39.1,1193.5,170.5,170.5,170.5,9833,3244.8900000000003,4916.5,7374.75
2031,1860,17237,9833,0.0,39.0,1302.0,186.0,186.0,186.0,9833,3244.8900000000003,4916.5,7374.75
2032,1976,17476,9833,0.0,39.0,1383.1999999999998,197.60000000000002,197.60000000000002,197.60000000000002,9833,3244.8900000000003,4916.5,7374.75
2033,2091,17719,9833,0.0,38.9,1463.6999999999998,209.10000000000002,209.10000000000002,209.10000000000002,9833,3244.8900000000003,4916.5,7374.75
2034,2207,17966,9833,0.0,38.8,1544.8999999999999,220.70000000000002,220.70000000000002,220.70000000000002,9833,3244.8900000000003,4916.5,7374.75
2035,2322,18216,9833,0.0,38.7,1625.3999999999999,232.20000000000002,232.20000000000002,232.20000000000002,9833,3244.8900000000003,4916.5,7374.75
2036,2437,18469,9833,0.0,38.6,1705.8999999999999,243.70000000000002,243.70000000000002,243.70000000000002,9833,3244.8900000000003,4916.5,7374.75
2037,2553,18726,9833,0.0,38.6,1787.1,255.3,255.3,255.3,9833,3244.8900000000003,4916.5,7374.75
2038,2668,18987,9833,0.0,38.5,1867.6,266.8,266.8,266.8,9833,3244.8900000000003,4916.5,7374.75
2039,2784,19251,9833,0.0,38.4,1948.8,278.40000000000003,278.40000000000003,278.40000000000003,9833,3244.8900000000003,4916.5,7374.75
2040,2899,19519,9833,0.0,0.0,2029.3,289.90000000000003,289.90000000000003,289.90000000000003,9833,3244.8900000000003,4916.5,7374.75
