Load Profile, Charger Assignment
Inyo_Residential_L2,Residential L2
Inyo_Residential_MUD,Residential L2
Inyo_Public_L2,Public L2
Inyo_Workplace_L2,Workplace L2
Inyo_Public_DCFC,DCFC
