Timestep,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
15,2.6290257405752236e-08,2.837607785946181e-08,2.9359364763556396e-08,2.852619346221637e-08,2.801557711813986e-08,2.528769065580998e-08,2.1265959318488786e-08,2.0446717515419936e-08,2.0085984293582473e-08,1.984725839221271e-08,0.0,0.0,0.0,1.9983650649040127e-08,2.0059639085749906e-08,2.0125148545298372e-08,2.0201875977841272e-08,2.0249755116436237e-08,2.0290115921417123e-08,2.0330726956158466e-08,2.037722111380831e-08,0,0,0,0,0,0,0,0,0,0
16,3.208912260313149e-08,3.463501430872435e-08,6.297580870668769e-08,3.481824104200008e-08,3.419499760184081e-08,3.0865418823430883e-08,2.5956610668060024e-08,2.49566679799928e-08,2.451636751416199e-08,2.4224985630775733e-08,2.3394881389871505e-08,2.3335953970349698e-08,2.3987244533509648e-08,2.4391462047643957e-08,2.4484211320668076e-08,2.4564170259322497e-08,2.4657821529140573e-08,2.4716261411443513e-08,2.4765524634674997e-08,2.4815093281065266e-08,2.4871842695957976e-08,0,0,0,0,0,0,0,0,0,0
17,8.485038565045381e-08,9.158225849457965e-08,9.475576386312016e-08,9.206674849364248e-08,9.041876182521083e-08,8.162251180079628e-08,6.86413417126249e-08,6.599702853081485e-08,6.482642931850998e-08,6.405595436714856e-08,3.520081602936144e-08,3.5112151623712005e-08,6.342731693017418e-08,6.449615300852853e-08,6.474140158332526e-08,6.495282982537905e-08,6.520046346930868e-08,6.535499080282599e-08,6.548525312072333e-08,6.56163230416558e-08,6.576638042398554e-08,0,0,0,0,0,0,0,0,0,0
18,8.400952300640133e-08,9.06746833617654e-08,9.381673946705684e-08,9.115437209164713e-08,8.952271688024727e-08,8.08137150629533e-08,6.978469047170399e-08,6.70963313531508e-08,6.419024313268341e-08,6.342732938013753e-08,3.485536629345707e-08,3.476757201239479e-08,6.280486119322832e-08,6.386320805051789e-08,6.410604983294585e-08,6.431540318473801e-08,6.456060662998064e-08,6.47136174808542e-08,6.48426014453384e-08,6.497238508729564e-08,6.512096985367656e-08,0,0,0,0,0,0,0,0,0,0
19,7.802580503327492e-08,8.421622825902666e-08,8.713448619338487e-08,8.466175036146209e-08,8.314631250572624e-08,7.505818339429323e-08,6.312099812941908e-08,3.453411904266127e-08,3.392129661445452e-08,3.351813528605975e-08,3.236958780404133e-08,3.228805474351885e-08,3.318919233506384e-08,3.3748475115671e-08,3.387680471422219e-08,3.398743737109956e-08,3.41170149889903e-08,3.4197873484057606e-08,3.426603498499993e-08,3.433461907503735e-08,3.4413138608331184e-08,0,0,0,0,0,0,0,0,0,0
20,6.620557642451053e-08,7.145820454924172e-08,7.41897889302061e-08,7.208440267655496e-08,7.079409823378401e-08,6.390085233096274e-08,3.0578654031677584e-08,2.9400653486809133e-08,2.8881949570230588e-08,2.853868187950197e-08,2.75607625849743e-08,2.7491342074046258e-08,2.825860668573422e-08,2.8734802429328263e-08,2.8844067385672645e-08,2.8938264457590914e-08,2.9048592027550504e-08,2.9117438186451843e-08,2.9175473616383173e-08,2.9233868855583328e-08,2.9300723528818435e-08,0,0,0,0,0,0,0,0,0,0
21,3.368316998729998e-08,6.389024890880863e-08,6.610417168427167e-08,6.42282421745653e-08,6.307856231107154e-08,3.3637018587196205e-08,2.8287417724568544e-08,2.7197683903781555e-08,2.6717846094425174e-08,2.6400299202108418e-08,2.5495654689090844e-08,2.5431435806557945e-08,2.614120983891438e-08,2.658172458177232e-08,2.66828023944049e-08,2.6769941348232726e-08,2.6872002153615147e-08,2.6935689719900985e-08,2.698937659727602e-08,2.7043396323673057e-08,2.710524162486526e-08,0,0,0,0,0,0,0,0,0,0
22,3.171927391811626e-08,3.4235822512301864e-08,6.224997022471976e-08,3.441693743444459e-08,3.380087729342497e-08,3.1622830927170155e-08,2.6593564639250342e-08,2.5569084176422308e-08,2.4233799916455906e-08,2.3945776404931058e-08,2.312523967279674e-08,2.3066991431353157e-08,2.3710775433447952e-08,2.4110334069310274e-08,2.420201434468406e-08,2.4281051702880126e-08,2.4373623578929145e-08,2.4431389902347677e-08,2.448008533385244e-08,2.452908266830901e-08,2.4585178008089312e-08,0,0,0,0,0,0,0,0,0,0
23,2.9200071407356554e-08,3.1516751128336325e-08,3.260886853785238e-08,3.168348157346435e-08,3.111635005098884e-08,2.808654025255889e-08,2.36196824193112e-08,2.270976667446695e-08,2.2309107385587e-08,2.2043959225977973e-08,2.1288591015705137e-08,2.1234968955695324e-08,2.182762245970081e-08,2.2195447420912874e-08,2.227984628182221e-08,2.2352606349064993e-08,2.243782599809991e-08,2.2491004414892048e-08,2.2535832366528703e-08,2.258093824343482e-08,2.2632578389152952e-08,0,0,0,0,0,0,0,0,0,0
24,2.6382027569003193e-08,2.8475128897928063e-08,2.94618481153058e-08,2.8625768502146688e-08,2.8113369773648018e-08,2.5375961206527976e-08,2.1340191401051773e-08,2.051808990920737e-08,2.015609749290306e-08,1.9916538282273416e-08,1.9234069233819442e-08,1.9185622137723315e-08,1.972107976943309e-08,2.0053406637127646e-08,2.0129660323094375e-08,2.0195398453427776e-08,2.0272393714805586e-08,2.0320439982854532e-08,2.036094167339636e-08,2.040169446716389e-08,2.0448350919779953e-08,0,0,0,0,0,0,0,0,0,0
