Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
Utility Bills,1625431.474645324,1962652.558992902,2300108.3129645726,2641881.8965303414,2980734.929679283,3312683.2162718773,4858384.236135896,6403844.389646876,7960670.122558193,9527096.277003331,12176372.651412109,11959462.904457439,11628336.369778952,11297715.83512104,10991568.135701511,10684335.64681216,10286958.63466821,8769647.678035162,7255673.780969071,5741960.296025574
Utility Bills (res),1395738.8420881797,1685439.0204348373,1975238.2301184987,2263796.7511590733,2553253.755599388,2844567.5038742297,4172008.4797614324,5499337.7027678965,6823853.63361228,8146123.897503258,10467733.654062184,10301942.645933323,10013369.714549322,9725250.350741806,9436563.459833367,9148477.037219334,8842102.902736068,7521214.075866645,6200065.756750948,4878779.058344874
Utility Bills (work),128624.23343722224,155220.6959474569,181877.91634106435,214250.10774565398,242694.10750269485,262098.36122051437,384312.9954486403,506462.1235916875,642978.9711309938,791725.4602689462,945906.645628681,905692.8477119547,878881.7005895466,851702.4106967405,847748.6681152766,842213.3567226543,775160.7664577514,649442.3545975387,527011.0634979898,404699.24294784997
Utility Bills (pub L2),40054.913334756,48345.16268336957,56663.88479739624,65269.53746721135,73678.94446859493,81643.14806156754,119705.60783439632,157743.09996840425,196569.80171552335,235999.43044804316,323236.8212909115,318069.2912441044,310548.30097251775,303152.9815489963,296686.10142124805,290097.5972087079,281123.7785212373,247119.56251236744,213254.27855182133,179486.12813706708
Utility Bills (DCFC),61013.48578516604,73647.67992723826,86328.28170761309,98565.50015840288,111108.12210860533,124374.20311556548,182357.1530914275,240301.46331888743,297267.716099396,353247.4887830847,439495.53043033235,433758.11956805724,425536.6536675652,417610.0921334971,410569.9063316197,403547.6556614634,388571.18695315457,351871.6850586105,315342.6821683125,278995.86659578315
Incremental upfront vehicle cost,780597.3249777701,975651.0700847117,584474.5143661303,292235.47760325804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost,865872.8856858688,1517537.0232411372,1518928.9423885734,1520325.037293452,1521725.320483045,1523129.8045222117,6984549.025170637,6991022.219535039,6997514.833482532,7004026.925271867,7282774.354799002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (res),447179.95243914414,783655.7638559624,784298.3345327112,784942.8329214902,785589.2648054356,786237.6359850348,3605063.088104535,3608051.3973688483,3611048.6715609543,3614054.9375756374,3742736.926585656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (work L2),179925.94045952093,315233.44882299536,315415.90716330643,315598.91287863906,315782.46761111706,315966.5730077941,1448421.1237827688,1449269.6560430068,1450120.7339000246,1450974.364990612,1487513.6952033348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (public L2),107955.56427571266,189140.06929379707,189249.5442979839,189359.3477271833,189469.4805666703,189579.9438046764,869052.6742696614,869561.7936258039,870072.4403400142,870584.6189943682,892508.2171219997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (DCFC),130811.42851149106,229507.7412683824,229965.15639457197,230423.94376613965,230884.10749982222,231345.6517247064,1062012.1390136727,1064139.3724973795,1066272.9876815393,1068413.0037112492,1160015.5158880122,0,0,0,0,0,0,0,0,0
Avoided vehicle gasoline ($),1858623.7605236394,2367838.528819921,2818284.149799202,3247549.7744163983,4052040.6669695186,4441391.158099369,6302036.928172732,8260219.753525947,10361347.378864521,12708282.65134454,12828975.843265012,12476253.528594738,12068934.242041335,11651092.790601747,11270851.621332202,10909549.495343102,8923346.929686537,6956158.87526677,4815959.176980644,2606706.1381019126
Avoided vehicle gasoline (gallons),640904.7450081515,768778.743123351,891862.0727212664,1008555.8305640988,1122448.9382187033,1230302.2598613212,1740894.1790532407,2269291.141078557,2815583.526865359,3379862.407272484,3393908.953244712,3266034.9551295126,3142951.6255315975,3026257.8676887653,2912364.7600341607,2804511.438391543,2293919.5191996237,1765522.557174307,1219230.1713875048,654951.29098038
Carbon Emissions Savings From Avoided Gasoline ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbon Emission Costs Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Carbon Emission Savings Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle O&M Savings,51425.694530501576,144584.8262908615,241818.06981252445,343259.59699321585,449047.51142406836,559323.956444934,1041710.7718656348,1545051.8943699272,2070035.8382508256,2617371.270545609,3663055.9706439776,3629242.7238101987,3592168.7750259424,3551707.0190168545,3507726.3360562543,3460091.476848183,2951851.051843098,2419573.3638629937,1862446.761702673,1279635.5155391889
Federal EV Tax Credit,1524477.1105879915,2611907.7403667225,2555682.7205153843,2500668.0239876555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle sales,203.26361474506552,355.9159614206387,355.9159614206387,355.9159614206387,355.9159614206387,355.91596142063963,1630.6000000000004,1630.6000000000004,1630.6000000000004,1630.6000000000004,1833.863614745064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transmission and Distribution Cost,31494.92468994065,43902.42580213996,49322.994650901994,54990.7134782053,60914.3945756008,110702.43651126557,280549.4811357432,431903.01775105356,528443.2641693339,629552.0950480301,823935.8673170647,743636.4609537836,740949.5779105023,737672.6466245021,733778.0490773557,729237.1597857123,724020.3128440961,632589.1595874294,536179.5474937332,434600.72940494015
