Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
Utility Bills,21486756.158446953,25947354.438815862,30407923.96559587,34832128.95612626,39268181.320406616,43774860.156205416,64225318.13939174,84660618.78806746,104997777.0942242,125256526.3014035,160851463.7679277,158428075.25816843,154023390.71972185,149563122.07643446,144958931.24297377,140351310.1823865,135735070.71168506,115365692.61861932,94935522.87988664,74520379.99916059
Utility Bills (res),18611545.367149845,22475343.636645384,26339147.60937788,30165147.89133467,34006183.00210111,37917091.93745076,55631339.94101246,73332196.70774606,90932426.39665917,108455415.41978213,140209007.77422777,138128015.35063365,134311940.6046336,130448306.4318604,126435054.17046192,122424874.56317015,118419404.79945809,100774013.19213153,83071870.99058904,65385043.25622434
Utility Bills (work),1568814.6311028977,1894407.61822098,2219967.063811463,2546773.963874202,2872102.539777896,3197492.927117069,4689068.870309166,6181043.29570859,7675871.218128611,9167077.716548504,11111372.519634057,10923435.463199882,10596935.554722661,10270196.30924877,9949245.748777207,9621881.390414769,9291050.120546054,7797534.994914071,6305560.569514645,4813334.266706377
Utility Bills (pub L2),420786.5383064087,508139.9434038082,595492.4833484266,682616.2022559346,769846.3542097801,857537.6774623687,1257756.3389515043,1657950.9923040632,2057546.5763964807,2456450.136060258,3088074.6817182703,3039801.813968416,2953949.309314339,2867960.08995261,2781154.374699977,2694141.7862873334,2607404.1506380048,2213814.604469559,1820036.295868943,1426248.0658117938
Utility Bills (DCFC),885609.6218878027,1069463.240545688,1253316.8090581016,1437590.8986614454,1620049.424317833,1802737.6141752172,2647152.9891186175,3489427.792308749,4331932.903039945,5177583.029012589,6443008.792347611,6336822.6303664865,6160565.251051264,5976659.245372673,5793476.94903468,5610412.442514227,5417211.641042909,4580329.827104154,3738055.0239140224,2895754.4104180783
Incremental upfront vehicle cost,15967169.666903602,19957006.86289478,11955464.66564034,5977695.931398071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost,17711486.874633368,31041319.70550776,31069791.50329461,31098348.71647484,31126991.60129458,31155720.414768834,142863283.34165716,142995687.28030437,143128488.43076748,143261687.98468202,148963479.2753579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (res),9147095.363716545,16029730.235485304,16042874.060976783,16056057.317944739,16069280.124683598,16082542.599842692,73738640.47118564,73799763.91259919,73861070.72433698,73922561.45650999,76554757.3675139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (work L2),3680396.9561081687,6448120.946588287,6451853.143950066,6455596.537903936,6459351.16203965,6463117.050047793,29626278.899225555,29643634.938145448,29661043.045182113,29678503.37653988,30425917.030281726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (public L2),2208238.173664903,3868872.5679529733,3871111.8863700377,3873357.922742359,3875610.697223794,3877870.2300286735,17775767.339535326,17786180.96288728,17796625.827109262,17807102.025923923,18255550.21816903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (DCFC),2675756.3811437516,4694595.955481194,4703952.411997722,4713336.9378838055,4722749.617347538,4732190.534849674,21722596.63171066,21766107.466672465,21809748.83413913,21853521.125708226,23727254.65939324,0,0,0,0,0,0,0,0,0
Avoided vehicle gasoline ($),38018271.36938309,48434292.97503142,57648187.80370607,66428844.41257584,82884758.57707828,90848948.50296564,128906958.87241621,168960021.36219317,211936925.3403464,259941668.47093365,262408486.98939446,255193432.96825016,246861642.22120702,238314643.8627394,230536737.78721246,223146231.08868986,182520069.12909395,142282836.75319964,98506789.02922297,53318312.523959674
Avoided vehicle gasoline (gallons),13109748.748063134,15725419.797088124,18243097.406236097,20630075.90452666,22959766.918858252,25165913.712732866,35609657.1470763,46417588.286316805,57591555.79900717,69133422.46567385,69420234.65327896,66804563.60425397,64286885.995106,61899907.49681543,59570216.48248384,57364069.68860922,46920326.25426579,36112395.11502529,24938427.602334928,13396560.93566826
Carbon Emissions Savings From Avoided Gasoline ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbon Emission Costs Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Carbon Emission Savings Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle O&M Savings,1051915.9668274026,2957492.1393840495,4946404.536205245,7021397.65229111,9185296.40568923,11441008.34777316,21307850.062778585,31603295.365203932,42341427.261505604,53536740.9662878,74925801.75619702,74234100.08284351,73475699.44781245,72647999.88039993,71748319.29348852,70773891.12881088,60378257.20168065,49490960.81845035,38095400.3178723,26174481.53023269
Federal EV Tax Credit,31183279.649033677,53426744.76359752,52276658.281406574,51151329.04247218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle sales,4157.770619871157,7280.284419786221,7280.284419786221,7280.284419786221,7280.284419786221,7280.284419786229,33352.600000000006,33352.600000000006,33352.600000000006,33352.600000000006,37510.37061987113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
