Load Profile, Charger Assignment
Orange_Residential_L2,Residential L2
Orange_Residential_MUD,Residential L2
Orange_Public_L2,Public L2
Orange_Workplace_L2,Workplace L2
Orange_Public_DCFC,DCFC
