Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
Utility Bills,18872629.00448539,22787817.721884895,26705810.76871883,30688043.505926427,34626502.380807534,38463002.606344245,56408795.3008925,74351803.97065999,92462057.73481402,110712196.86643408,141619984.2768617,139089495.86519974,135167350.23516655,131252580.6203045,127581514.83818895,123895091.41949727,119274270.85630128,101316012.82385708,83410024.19422881,65545820.38982365
Utility Bills (res),16327270.374887759,19716060.86129523,23105928.95050534,26492933.455448464,29882283.429051034,33275464.81890671,48802966.97352143,64329314.466333665,79851368.05219057,95370392.77833779,122647825.63666815,120708721.52017054,117314935.60281783,113927040.73266259,110515405.84810708,107108722.37966952,103536686.68433456,88010694.88013594,72498682.27269079,57003543.869774714
Utility Bills (work),1465991.0764847298,1769093.1073060199,2072929.1419667797,2442362.706147887,2766697.721288603,2987282.2508888817,4380119.209831771,5772174.656019802,7329290.465045716,9026689.854016718,10909340.466002597,10451188.081632668,10145419.815520313,9835710.373049747,9790339.8955987,9726763.06063716,8963271.257681306,7530453.184874854,6135056.179375465,4741132.211360751
Utility Bills (pub L2),451791.81843988696,545295.9632210521,639141.8905947002,733947.1783158325,828120.7260035949,920903.0441264944,1350192.0931578844,1779184.7845292625,2211396.682201772,2645594.9171746527,3445971.046191225,3386519.239062084,3290942.1350147417,3197129.6368191685,3109833.899719751,3021683.6452386496,2916428.677777003,2484969.74720836,2054591.2983158664,1645607.857344651
Utility Bills (DCFC),627575.7346730157,757367.7900625933,887810.7856520137,1018800.1660142432,1149400.504464299,1279352.492422162,1875517.024381418,2471130.0637772563,3070002.5353759504,3669519.3169049146,4616847.127999739,4543067.02433446,4416052.681813648,4292699.877772984,4165935.194763419,4037922.3339519394,3857884.236508415,3289895.0116379303,2721694.4438466965,2155536.451343538
Incremental upfront vehicle cost,9168108.879539989,11459013.44106077,6864648.152845707,3432303.1752732988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost,10169669.60786805,17823459.30817017,17839807.386605587,17856204.509276308,17872650.823315054,17889146.476295892,82030114.4127516,82106138.91661209,82182391.4939841,82258872.82908833,85532755.85908909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (res),5252124.701844632,9204030.217904162,9211577.204985369,9219146.833027821,9226739.169954408,9234354.283891758,42339703.89737194,42374800.12906405,42410001.649451226,42445308.77439961,43956676.18252717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (work L2),2113228.6258263756,3702414.1497851354,3704557.1214254787,3706706.52198074,3708862.370737675,3711024.68704087,17010998.143698197,17020963.740351524,17030959.233794797,17040984.713718403,17470138.422199078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (public L2),1267937.1754958248,2221448.4898710805,2222734.272855286,2224023.9131884472,2225317.4224426025,2226614.8122245227,10206598.886218922,10212578.244210916,10218575.540276876,10224590.828231044,10482083.053319443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (DCFC),1536379.1047012173,2695566.450609791,2700938.7873394527,2706327.241079302,2711731.86018037,2717152.693138742,12472813.485462546,12497796.8029856,12522855.070461215,12547988.512739278,13623858.201043393,0,0,0,0,0,0,0,0,0
Avoided vehicle gasoline ($),21829520.108932048,27810243.19037868,33100723.141187713,38142444.21657864,47591182.842137426,52164101.017436706,74016482.05363598,97014394.03801513,121691134.64567332,149254789.55505213,150671252.36465296,146528479.33369383,141744491.5735863,136836934.19565606,132370978.69055077,128127462.08616088,104800483.76292855,81696823.32326686,56561224.29616857,30614628.232685335
Avoided vehicle gasoline (gallons),7527420.727217948,9029299.737135936,10474912.386451807,11845479.570366036,13183153.141866323,14449889.478514323,20446542.003766846,26652306.05439976,33068243.110237315,39695422.75400323,39860119.67318862,38358240.66327064,36912628.013954766,35542060.83004054,34204387.25854025,32937650.921892256,26940998.396639727,20735234.346006818,14319297.290169258,7692117.646403351
Carbon Emissions Savings From Avoided Gasoline ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbon Emission Costs Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Carbon Emission Savings Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle O&M Savings,603994.3407121326,1698147.543359497,2840151.1536624404,4031581.019407728,5274059.166087437,6569255.066007657,12234658.342288231,18146159.843273204,24311845.835663844,30740039.270355534,43021329.6320417,42624166.24988859,42188705.35537884,41713454.08504571,41196872.42542592,40637371.8610057,34668342.83655961,28417008.047057156,21873835.04888371,15029008.606895853
Federal EV Tax Credit,17904970.574470334,30676833.98438158,30016471.608983934,29370324.470630072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle sales,2387.329409929378,4180.229910938397,4180.229910938397,4180.229910938397,4180.2299109384,4180.229910938397,19150.6,19150.6,19150.59999999999,19150.600000000006,21537.929409929384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transmission and Distribution Cost,378702.4182405351,526512.4878231834,592357.2629239681,661204.4256233467,733161.0354834346,977629.9087103282,2319846.4400725686,3125406.0658552116,3728755.248097018,4360440.005700935,5457518.924026886,4473629.528051371,4451648.362237839,4425881.916849543,4396157.152078026,4362294.795063644,4324109.142896794,3747559.009712898,3140031.3958284226,2500350.2630630964
Distribution Cost,256779.82745850983,375833.32862132555,411642.4876277611,449130.8735668052,488360.06784050795,698686.0057625639,1901155.3608295715,2560580.3808345078,3011185.117048041,3483286.2641685707,4335677.350696836,3344180.304164346,3329178.7074018675,3311336.915608048,3290522.2983754473,3266597.3636503164,3239419.6064744857,2809305.7171482407,2355661.495822074,1877579.2483781036
Transmission Cost,121922.59078202522,150679.15920185784,180714.77529620702,212073.5520565415,244800.9676429266,278943.90294776426,418691.07924299716,564825.685020704,717570.1310489769,877153.7415323642,1121841.5733300508,1129449.2238870251,1122469.6548359713,1114545.0012414954,1105634.8537025787,1095697.4314133273,1084689.536422308,938253.2925646573,784369.9000063488,622771.0146849928
Cumulative personal light-duty EV population,20135.850445308013,24316.08035624641,28496.310267184806,32676.540178123203,36856.7700890616,41037.0,60187.6,79338.2,98488.79999999999,117639.4,136790.0,132609.7700890616,128429.54017812322,124249.31026718483,120069.08035624643,115888.85044530802,96738.25044530802,77587.65044530801,58437.05044530802,39286.450445308015
Cumulative personal light-duty LDV population,605532.0,614336.0,624969.0,633776.0,643492.0,652905.0,661103.0,670819.0,679928.0,689041.0,695718.0,686914.0,676281.0,667474.0,657758.0,648345.0,640147.0,630431.0,621322.0,612209.0
EV sales as % of total personal light-duty vehicles,0.003942532202970905,0.006804468419461657,0.006688699617002438,0.006595752933115796,0.00649616453808035,0.006402508651240834,0.028967649519061323,0.02854808823244422,0.028165629301926072,0.027793121164052654
Peak Demand 5-9 PM,10.502101726672423,12.682705863454439,14.863434746180884,17.073559038671053,19.286519925921986,21.403951331526375,31.392461952905297,41.380972574284286,51.3851385539116,62.034507602960495,78.91536762980536,77.16299236936256,74.97517909465114,72.80986800306756,71.09165932492695,71.33677739586072,66.1151429955356,56.27292491289366,46.28441429151473,36.302376537955304
Energy Supply Cost,5091838.0900578275,6330042.796445475,7243404.558644459,8272897.79013046,9620760.545748275,11762141.804621585,18530837.714779187,26153403.959420916,34420446.93893584,42911132.3815442,57964487.377494566,58410080.47805811,58652447.80340787,58810432.66231134,58919621.304769315,58949189.76475616,58936537.48793486,51700524.25710243,43987417.89370635,35731530.57747554
Energy Cost,3002519.6369614187,3992689.9523302577,4765907.905735219,5812779.836982108,7096030.66235556,9013313.366266917,14524789.929537186,21371876.77140948,28990658.004638676,36664025.2842163,50595441.78426125,51559056.12653911,51851996.82359408,52065589.88242893,52200600.18277169,52252916.9930723,52195955.61683002,45760178.70403466,38849667.64618036,31465361.392062783
GHG Cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capacity Cost,2089318.4530963886,2337352.8441152372,2477496.6529091997,2460117.953148364,2524729.883392733,2748828.4383546496,4006047.785242045,4781527.18801146,5429788.934297196,6247107.097327797,7369045.593233326,6851024.351518994,6800450.979813821,6744842.779882387,6719021.121997632,6696272.77168379,6740581.871104819,5940345.553067795,5137750.247525832,4266169.185412782
