Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
CO2 emissions from EVs (metric tons),29903.37336391167,36452.58085797306,42736.633551702034,49951.023629218944,58508.202103931595,66792.59931728328,97907.25312912131,131146.76697291993,163341.51469714538,195931.84577029472,255888.63771376616,251857.62646819468,244799.2985684157,237740.97066863504,230682.64276885544,223624.31486907552,216565.98696929586,184230.1544535236,151894.32193775178,119558.48942197919
NOX emissions from EVs (metric tons),4.26589569988465,5.389318233420691,6.3654643698646645,7.615231481786625,9.068320084561785,10.501327465404799,15.466047755182883,20.821189110917327,26.203237040581975,31.80710078127796,41.96048480225817,41.299367624643665,40.14174698418853,38.98412634373343,37.82650570327842,36.668885062823264,35.51126442236811,30.207936541025965,24.904608659684147,19.60128077834208
PM 10 emissions from EVs (metric tons),2.068250488551842,2.497411152895403,2.9220118378333093,3.3932197946704377,3.9558198607370345,4.497182214882617,6.582985745167657,8.804763767719132,10.932129981887103,13.066035489380997,17.01145803440896,16.74349106002944,16.274279079149906,15.805067098270367,15.33585511739082,14.866643136511277,14.397431155631638,12.247862554746975,10.098293953862324,7.948725352977659
SO2 emissions from EVs (metric tons),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOC emissions from EVs (metric tons),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
