Year, Ports
2011,4
2012,21
2013,42
2014,84
2015,211
2016,421
2017,843
2018,1685
2019,2402
2020,3163
2021,3931
2022,4700
2023,5513
2024,6191
2025,6869
2026,7411
2027,7908
2028,8450
2029,9038
2030,9625
2031,10504
2032,11155
2033,11807
2034,12459
2035,13111
2036,13763
2037,14415
2038,15067
2039,15719
2040,16371
