Load Profile, Charger Assignment
BaseCase_Amador_Residential L1_uncontrolled_load,Residential L1
BaseCase_Amador_Residential L2_uncontrolled_load,Residential L2
BaseCase_Amador_Residential MUD_uncontrolled_load,Residential L2
BaseCase_Amador_Public L2_uncontrolled_load,Public L2
BaseCase_Amador_Work_uncontrolled_load,Workplace L2
BaseCase_Amador_Fast_uncontrolled_load,DCFC
