Year, Ports
2011,0
2012,1
2013,2
2014,4
2015,11
2016,22
2017,44
2018,89
2019,126
2020,166
2021,207
2022,247
2023,290
2024,325
2025,361
2026,390
2027,416
2028,444
2029,475
2030,506
2031,552
2032,586
2033,621
2034,655
2035,689
2036,723
2037,758
2038,792
2039,826
2040,860
