Load Profile, Charger Assignment
BaseCase_Madera_Residential L1_e19controlled_load,Residential L1
BaseCase_Madera_Residential L2_e19controlled_load,Residential L2
BaseCase_Madera_Residential MUD_e19controlled_load,Residential L2
BaseCase_Madera_Public L2_e19controlled_load,Public L2
BaseCase_Madera_Work_e19controlled_load,Workplace L2
BaseCase_Madera_Fast_e19controlled_load,DCFC
