Year, Ports
2011,0
2012,1
2013,1
2014,2
2015,6
2016,11
2017,22
2018,44
2019,63
2020,83
2021,103
2022,123
2023,145
2024,162
2025,180
2026,194
2027,207
2028,222
2029,237
2030,252
2031,276
2032,293
2033,310
2034,327
2035,344
2036,361
2037,378
2038,395
2039,412
2040,429
