year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,141210,1771.9543505116426,0,12000,12000,0,5377.16,5377.16,31.0
2020,143074,2010.2975186886697,0,12000,12000,0,3840.32,3840.32,32.1
2021,145154,2427.638014950936,0,12000,12000,0,2741.24,2741.24,33.4
2022,147667,2844.978511213202,0,12000,12000,0,1642.17,1642.17,34.7
2023,149748,3262.3190074754684,0,12000,12000,0,821.08,821.08,36.6
2024,152043,3679.6595037377347,0,12000,12000,0,0.0,0.0,37.5
2025,154267,4097.0,0,12000,12000,0,0.0,0.0,39.6
2026,156204,6009.4,0,12400,12400,0,0.0,0.0,39.6
2027,158500,7921.799999999999,0,12800,12800,0,0.0,0.0,39.5
2028,160652,9834.199999999999,0,13200,13200,0,0.0,0.0,39.4
2029,162806,11746.599999999999,0,13600,13600,0,0.0,0.0,39.3
2030,164383,13659.0,0,14000,14000,0,0.0,0.0,39.2
