year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,148083,3709.5563740147322,0,12000,12000,0,5377.16,5377.16,31.0
2020,150039,4208.523753427562,0,12000,12000,0,3840.32,3840.32,32.1
2021,152220,5082.219002742049,0,12000,12000,0,2741.24,2741.24,33.4
2022,154855,5955.9142520565365,0,12000,12000,0,1642.17,1642.17,34.7
2023,157037,6829.609501371024,0,12000,12000,0,821.08,821.08,36.6
2024,159444,7703.304750685511,0,12000,12000,0,0.0,0.0,37.5
2025,161777,8577.0,0,12000,12000,0,0.0,0.0,39.6
2026,163808,12579.8,0,12400,12400,0,0.0,0.0,39.6
2027,166216,16582.6,0,12800,12800,0,0.0,0.0,39.5
2028,168473,20585.399999999998,0,13200,13200,0,0.0,0.0,39.4
2029,170731,24588.199999999997,0,13600,13600,0,0.0,0.0,39.3
2030,172385,28591.0,0,14000,14000,0,0.0,0.0,39.2
