year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,305325,8021.585877212457,0,12000,12000,0,5377.16,5377.16,31.0
2020,309357,9100.558476719249,0,12000,12000,0,3840.32,3840.32,32.1
2021,313855,10989.8467813754,0,12000,12000,0,2741.24,2741.24,33.4
2022,319287,12879.13508603155,0,12000,12000,0,1642.17,1642.17,34.7
2023,323786,14768.423390687702,0,12000,12000,0,821.08,821.08,36.6
2024,328750,16657.711695343853,0,12000,12000,0,0.0,0.0,37.5
2025,333559,18547.0,0,12000,12000,0,0.0,0.0,39.6
2026,337747,27202.2,0,12400,12400,0,0.0,0.0,39.6
2027,342711,35857.4,0,12800,12800,0,0.0,0.0,39.5
2028,347365,44512.600000000006,0,13200,13200,0,0.0,0.0,39.4
2029,352021,53167.8,0,13600,13600,0,0.0,0.0,39.3
2030,355432,61823.0,0,14000,14000,0,0.0,0.0,39.2
