year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,220566,4591.857295431318,0,12000,12000,0,5377.16,5377.16,31.0
2020,223479,5209.501771031879,0,12000,12000,0,3840.32,3840.32,32.1
2021,226728,6291.001416825503,0,12000,12000,0,2741.24,2741.24,33.4
2022,230652,7372.501062619127,0,12000,12000,0,1642.17,1642.17,34.7
2023,233903,8454.000708412752,0,12000,12000,0,821.08,821.08,36.6
2024,237488,9535.500354206377,0,12000,12000,0,0.0,0.0,37.5
2025,240962,10617.0,0,12000,12000,0,0.0,0.0,39.6
2026,243988,15571.8,0,12400,12400,0,0.0,0.0,39.6
2027,247574,20526.6,0,12800,12800,0,0.0,0.0,39.5
2028,250936,25481.399999999998,0,13200,13200,0,0.0,0.0,39.4
2029,254299,30436.199999999997,0,13600,13600,0,0.0,0.0,39.3
2030,256763,35391.0,0,14000,14000,0,0.0,0.0,39.2
