Year, Ports
2011,1
2012,4
2013,7
2014,14
2015,36
2016,72
2017,144
2018,287
2019,409
2020,539
2021,670
2022,801
2023,939
2024,1055
2025,1170
2026,1263
2027,1347
2028,1440
2029,1540
2030,1640
2031,1790
2032,1901
2033,2012
2034,2123
2035,2234
2036,2345
2037,2456
2038,2567
2039,2678
2040,2790
