Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
Utility Bills,42113.82445253371,50851.93257280968,59594.27710188327,68415.43477691429,77181.10859940248,85830.31166783988,126212.4008745308,166592.14316996484,207177.2997090081,247912.08300899083,300539.8135806874,295843.565594315,288113.68584510253,280399.3813285674,272866.38594824256,265341.72169238806,256641.41078372273,222120.036502678,187609.2492134277,153313.9373780382
Utility Bills (res),33681.03884206724,40672.40054034153,47664.94744150287,54598.31646144797,61570.737597636726,68644.50041384768,100943.80920678143,133243.7536013267,165397.2297797048,197401.97175430012,257444.3636498052,253858.444573625,247230.22544133422,240617.57933823997,233756.47049651115,226943.87215150084,220206.18806755895,189928.02652940032,159575.44885835767,129159.90524885092
Utility Bills (work),3810.43922096644,4598.314201452292,5387.794798029867,6364.300315091137,7212.314082750862,7764.234691722313,11415.127507947662,15064.186925285572,19184.533555681322,23708.657940175082,19591.152467875218,18672.02288498802,17920.87770967303,17159.664078597387,16820.553149897725,16431.8973065128,14965.473939908095,12305.036430837406,9726.187323219938,7148.353031444229
Utility Bills (pub L2),979.9981437010216,1183.2822311147636,1387.0676457038714,1572.545871644637,1770.6692541544369,1997.7668330967995,2937.3025617136273,3876.460792794887,4771.33700361889,5627.015169326872,6718.172705447133,6666.77894154468,6591.266902376195,6518.054109570617,6464.938283412715,6415.47826930088,6302.334554093263,5960.967874386605,5623.406405147043,5287.242457977322
Utility Bills (DCFC),3642.3482457990062,4397.935599901098,5154.467216646671,5880.272128730549,6627.387664860444,7423.809729173094,10916.16159808808,14407.741850557702,17824.1993700031,21174.438145188764,16786.124757559843,16646.3191941573,16371.315791719095,16104.08380215943,15824.424018420998,15550.473965073517,15167.414222162437,13926.005668053667,12684.206626703066,11718.436639765732
Incremental upfront vehicle cost,18989.91775131954,23735.07182518618,14218.756073589322,7109.334744212068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost,21064.451998654513,36917.758149827336,36951.619949349966,36985.5833342712,37019.64860934713,37053.81608024834,171336.90727758216,171495.7002216371,171654.96954452424,171814.71667538004,178597.25075349765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (res),10878.733817208718,19064.321673656792,19079.95375938193,19095.632741364265,19111.358760292514,19127.131957277565,88435.252989195,88508.55874816258,88582.08442440706,88655.83067768028,91786.94466564067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (work L2),4377.13364025738,7668.816013152434,7673.254753543519,7677.706810155798,7682.1722229378865,7686.651031958332,35530.99776236401,35551.81297787331,35572.69063902917,35593.63093316848,36482.71268283622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (public L2),2626.2801841544283,4601.28960789146,4603.9528521261145,4606.624086093472,4609.303333762732,4611.990619175,21318.598657418403,21331.087786723994,21343.614383417498,21356.17855990109,21889.627609701733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (DCFC),3182.304357033985,5583.330855126653,5594.458584298402,5605.619696657667,5616.814292354001,5628.042471837442,26052.05786860474,26104.2407088772,26156.580097670518,26209.07650463017,28437.965795319025,0,0,0,0,0,0,0,0,0
Avoided vehicle gasoline ($),45215.51792916696,57603.39866905933,68561.57777130285,79004.50223966625,98575.68880721499,108047.58112147865,153688.29604162264,201719.1748014862,253251.60507068306,310803.89408455504,314196.6040607093,305638.01078159316,295740.0990923635,285580.65278013406,276341.4817804087,267563.04881126084,218839.8164880285,170582.28785286436,118081.22766974982,63885.935161118614
Avoided vehicle gasoline (gallons),15591.557906609298,18702.402165279003,21696.701826361663,24535.559701759707,27306.284988148196,29930.077872985778,42455.3303982383,55417.35571469401,68818.37094312039,82660.61012887102,83120.79472505537,80009.95046638565,77015.650805303,74176.79292990494,71406.06764351646,68782.27475867888,56257.022233426345,43294.99691697065,29893.981688544256,16051.742502793622
Carbon Emissions Savings From Avoided Gasoline ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbon Emission Costs Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Carbon Emission Savings Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle O&M Savings,1251.0543889790026,3517.3755680375584,5882.809368650425,8350.61984671533,10924.166706080661,13606.907927252256,25437.762130988547,37782.58817625245,50658.274690636565,64082.204638976276,89634.32228329472,88823.20907187425,87933.02386716618,86960.68008026014,85902.99358317854,84756.67991106652,72286.42100634177,59226.4484767322,45556.850528052724,31257.12466856862
Federal EV Tax Credit,37086.59255866609,63540.972504628364,62173.162920380004,60834.79737806267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle sales,4.944879007822145,8.658516519964024,8.658516519964024,8.658516519964031,8.658516519964024,8.658516519964024,40.0,40.0,40.0,40.0,44.944879007822145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
