Load Profile, Charger Assignment
BaseCase_El Dorado_Residential L1_uncontrolled_load,Residential L1
BaseCase_El Dorado_Residential L2_uncontrolled_load,Residential L2
BaseCase_El Dorado_Residential MUD_uncontrolled_load,Residential L2
BaseCase_El Dorado_Public L2_uncontrolled_load,Public L2
BaseCase_El Dorado_Work_uncontrolled_load,Workplace L2
BaseCase_El Dorado_Fast_uncontrolled_load,DCFC
