year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,685988,48288.24292903939,0,12000,12000,0,5377.16,5377.16,31.0
2020,695046,54783.4287683845,0,12000,12000,0,3840.32,3840.32,32.1
2021,705152,66156.5430147076,0,12000,12000,0,2741.24,2741.24,33.4
2022,717357,77529.65726103069,0,12000,12000,0,1642.17,1642.17,34.7
2023,727465,88902.77150735378,0,12000,12000,0,821.08,821.08,36.6
2024,738618,100275.88575367688,0,12000,12000,0,0.0,0.0,37.5
2025,749422,111649.0,0,12000,12000,0,0.0,0.0,39.6
2026,758832,178638.8,0,12400,12400,0,0.0,0.0,39.6
2027,769985,245628.59999999998,0,12800,12800,0,0.0,0.0,39.5
2028,780440,312618.39999999997,0,13200,13200,0,0.0,0.0,39.4
2029,790901,379608.19999999995,0,13600,13600,0,0.0,0.0,39.3
2030,798565,446598.0,0,14000,14000,0,0.0,0.0,39.2
