year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,855,17.73251851866667,0,12000,12000,0,5377.16,5377.16,31.0
2020,866,20.117695451851468,0,12000,12000,0,3840.32,3840.32,32.1
2021,879,24.294156361481175,0,12000,12000,0,2741.24,2741.24,33.4
2022,894,28.470617271110882,0,12000,12000,0,1642.17,1642.17,34.7
2023,907,32.647078180740586,0,12000,12000,0,821.08,821.08,36.6
2024,921,36.82353909037029,0,12000,12000,0,0.0,0.0,37.5
2025,934,41.0,0,12000,12000,0,0.0,0.0,39.6
2026,946,60.4,0,12400,12400,0,0.0,0.0,39.6
2027,960,79.8,0,12800,12800,0,0.0,0.0,39.5
2028,973,99.19999999999999,0,13200,13200,0,0.0,0.0,39.4
2029,986,118.6,0,13600,13600,0,0.0,0.0,39.3
2030,995,138.0,0,14000,14000,0,0.0,0.0,39.2
