Load Profile, Charger Assignment
BaseCase_Merced_Residential L1_uncontrolled_load,Residential L1
BaseCase_Merced_Residential L2_uncontrolled_load,Residential L2
BaseCase_Merced_Residential MUD_uncontrolled_load,Residential L2
BaseCase_Merced_Public L2_uncontrolled_load,Public L2
BaseCase_Merced_Work_uncontrolled_load,Workplace L2
BaseCase_Merced_Fast_uncontrolled_load,DCFC
