year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,50000,663.0231924174635,0,12000,12000,0,5377.16,5377.16,31.0
2020,50660,752.2055396997146,0,12000,12000,0,3840.32,3840.32,32.1
2021,51397,908.3644317597716,0,12000,12000,0,2741.24,2741.24,33.4
2022,52286,1064.5233238198286,0,12000,12000,0,1642.17,1642.17,34.7
2023,53023,1220.6822158798857,0,12000,12000,0,821.08,821.08,36.6
2024,53836,1376.8411079399427,0,12000,12000,0,0.0,0.0,37.5
2025,54624,1533.0,0,12000,12000,0,0.0,0.0,39.6
2026,55309,2248.8,0,12400,12400,0,0.0,0.0,39.6
2027,56122,2964.6000000000004,0,12800,12800,0,0.0,0.0,39.5
2028,56884,3680.4000000000005,0,13200,13200,0,0.0,0.0,39.4
2029,57647,4396.200000000001,0,13600,13600,0,0.0,0.0,39.3
2030,58205,5112.0,0,14000,14000,0,0.0,0.0,39.2
