year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,11067,217.5477271924228,0,12000,12000,0,5377.16,5377.16,31.0
2020,11213,246.8097759092997,0,12000,12000,0,3840.32,3840.32,32.1
2021,11376,298.0478207274398,0,12000,12000,0,2741.24,2741.24,33.4
2022,11573,349.28586554557984,0,12000,12000,0,1642.17,1642.17,34.7
2023,11736,400.5239103637199,0,12000,12000,0,821.08,821.08,36.6
2024,11916,451.76195518185995,0,12000,12000,0,0.0,0.0,37.5
2025,12090,503.0,0,12000,12000,0,0.0,0.0,39.6
2026,12242,737.8,0,12400,12400,0,0.0,0.0,39.6
2027,12422,972.5999999999999,0,12800,12800,0,0.0,0.0,39.5
2028,12591,1207.3999999999999,0,13200,13200,0,0.0,0.0,39.4
2029,12759,1442.1999999999998,0,13600,13600,0,0.0,0.0,39.3
2030,12883,1677.0,0,14000,14000,0,0.0,0.0,39.2
