year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,1504746,45640.90766433796,0,12000,12000,0,5377.16,5377.16,31.0
2020,1524616,51780.00404007272,0,12000,12000,0,3840.32,3840.32,32.1
2021,1546783,62529.60323205818,0,12000,12000,0,2741.24,2741.24,33.4
2022,1573554,73279.20242404363,0,12000,12000,0,1642.17,1642.17,34.7
2023,1595728,84028.80161602909,0,12000,12000,0,821.08,821.08,36.6
2024,1620191,94778.40080801454,0,12000,12000,0,0.0,0.0,37.5
2025,1643892,105528.0,0,12000,12000,0,0.0,0.0,39.6
2026,1664533,154774.6,0,12400,12400,0,0.0,0.0,39.6
2027,1688997,204021.2,0,12800,12800,0,0.0,0.0,39.5
2028,1711932,253267.80000000002,0,13200,13200,0,0.0,0.0,39.4
2029,1734877,302514.4,0,13600,13600,0,0.0,0.0,39.3
2030,1751688,351761.0,0,14000,14000,0,0.0,0.0,39.2
