Load Profile, Charger Assignment
BaseCase_Lake_Residential L1_e19controlled_load,Residential L1
BaseCase_Lake_Residential L2_e19controlled_load,Residential L2
BaseCase_Lake_Residential MUD_e19controlled_load,Residential L2
BaseCase_Lake_Public L2_e19controlled_load,Public L2
BaseCase_Lake_Work_e19controlled_load,Workplace L2
BaseCase_Lake_Fast_e19controlled_load,DCFC
