Year, Ports
2011,0
2012,0
2013,1
2014,2
2015,5
2016,10
2017,20
2018,40
2019,57
2020,75
2021,93
2022,111
2023,130
2024,146
2025,162
2026,175
2027,187
2028,200
2029,214
2030,227
2031,248
2032,264
2033,279
2034,294
2035,310
2036,325
2037,341
2038,356
2039,371
2040,387
