Load Profile,PGE Residential EV Rate,PGE Medium Commercial Rate,PGE Large Commercial Rate,SCE Residential EV Rate,SCE Medium Commercial Rate,SCE Large Commercial Rate,SCE Commercial EV Rate,SDGE Residential EV Rate,SDGE Commercial Rate
LowAdoption_San Diego_Residential L1_e19controlled_load,0,0,0,0,0,0,0,1,0
LowAdoption_San Diego_Residential L2_e19controlled_load,0,0,0,0,0,0,0,1,0
LowAdoption_San Diego_Residential MUD_e19controlled_load,0,0,0,0,0,0,0,0,1
LowAdoption_San Diego_Public L2_e19controlled_load,0,0,0,0,0,0,0,0,1
LowAdoption_San Diego_Work_e19controlled_load,0,0,0,0,0,0,0,0,1
LowAdoption_San Diego_Fast_e19controlled_load,0,0,0,0,0,0,0,0,1
