year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,1903296,36449.84056579685,0,12000,12000,0,5377.16,5377.16,31.0
2020,1928428,41352.65901452892,0,12000,12000,0,3840.32,3840.32,32.1
2021,1956467,49937.527211623135,0,12000,12000,0,2741.24,2741.24,33.4
2022,1990329,58522.39540871735,0,12000,12000,0,1642.17,1642.17,34.7
2023,2018375,67107.26360581156,0,12000,12000,0,821.08,821.08,36.6
2024,2049318,75692.13180290577,0,12000,12000,0,0.0,0.0,37.5
2025,2079295,84277.0,0,12000,12000,0,0.0,0.0,39.6
2026,2105403,123606.6,0,12400,12400,0,0.0,0.0,39.6
2027,2136347,162936.2,0,12800,12800,0,0.0,0.0,39.5
2028,2165357,202265.80000000002,0,13200,13200,0,0.0,0.0,39.4
2029,2194379,241595.40000000002,0,13600,13600,0,0.0,0.0,39.3
2030,2215643,280925.0,0,14000,14000,0,0.0,0.0,39.2
