Load Profile, Charger Assignment
BaseCase_Santa Cruz_Residential L1_uncontrolled_load,Residential L1
BaseCase_Santa Cruz_Residential L2_uncontrolled_load,Residential L2
BaseCase_Santa Cruz_Residential MUD_uncontrolled_load,Residential L2
BaseCase_Santa Cruz_Public L2_uncontrolled_load,Public L2
BaseCase_Santa Cruz_Work_uncontrolled_load,Workplace L2
BaseCase_Santa Cruz_Fast_uncontrolled_load,DCFC
