Year, Ports
2011,0
2012,0
2013,1
2014,1
2015,3
2016,5
2017,11
2018,22
2019,31
2020,41
2021,51
2022,61
2023,72
2024,80
2025,89
2026,96
2027,103
2028,110
2029,117
2030,125
2031,136
2032,145
2033,153
2034,162
2035,170
2036,179
2037,187
2038,196
2039,204
2040,212
