Load Profile, Charger Assignment
LowAdoption_Kern_Residential L1_uncontrolled_load,Residential L1
LowAdoption_Kern_Residential L2_uncontrolled_load,Residential L2
LowAdoption_Kern_Residential MUD_uncontrolled_load,Residential L2
LowAdoption_Kern_Public L2_uncontrolled_load,Public L2
LowAdoption_Kern_Work_uncontrolled_load,Workplace L2
LowAdoption_Kern_Fast_uncontrolled_load,DCFC
