year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,346844,8217.50858182114,0,12000,12000,0,5377.16,5377.16,31.0
2020,351424,9322.834477687265,0,12000,12000,0,3840.32,3840.32,32.1
2021,356534,11258.267582149812,0,12000,12000,0,2741.24,2741.24,33.4
2022,362704,13193.70068661236,0,12000,12000,0,1642.17,1642.17,34.7
2023,367815,15129.133791074906,0,12000,12000,0,821.08,821.08,36.6
2024,373454,17064.566895537453,0,12000,12000,0,0.0,0.0,37.5
2025,378917,19000.0,0,12000,12000,0,0.0,0.0,39.6
2026,383675,27866.8,0,12400,12400,0,0.0,0.0,39.6
2027,389314,36733.6,0,12800,12800,0,0.0,0.0,39.5
2028,394600,45600.399999999994,0,13200,13200,0,0.0,0.0,39.4
2029,399889,54467.2,0,13600,13600,0,0.0,0.0,39.3
2030,403764,63334.0,0,14000,14000,0,0.0,0.0,39.2
