year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,13969,221.44023125749598,0,12000,12000,0,5377.16,5377.16,31.0
2020,14153,251.22585539873052,0,12000,12000,0,3840.32,3840.32,32.1
2021,14359,303.38068431898444,0,12000,12000,0,2741.24,2741.24,33.4
2022,14608,355.53551323923836,0,12000,12000,0,1642.17,1642.17,34.7
2023,14814,407.6903421594923,0,12000,12000,0,821.08,821.08,36.6
2024,15041,459.8451710797462,0,12000,12000,0,0.0,0.0,37.5
2025,15261,512.0,0,12000,12000,0,0.0,0.0,39.6
2026,15452,751.4,0,12400,12400,0,0.0,0.0,39.6
2027,15679,990.8,0,12800,12800,0,0.0,0.0,39.5
2028,15892,1230.2,0,13200,13200,0,0.0,0.0,39.4
2029,16105,1469.6000000000001,0,13600,13600,0,0.0,0.0,39.3
2030,16261,1709.0,0,14000,14000,0,0.0,0.0,39.2
