Year, Ports
2011,0
2012,0
2013,0
2014,1
2015,2
2016,5
2017,9
2018,18
2019,26
2020,34
2021,42
2022,51
2023,59
2024,67
2025,74
2026,80
2027,85
2028,91
2029,98
2030,104
2031,113
2032,120
2033,127
2034,134
2035,141
2036,149
2037,156
2038,163
2039,170
2040,177
