Year, Ports
2011,8
2012,40
2013,81
2014,161
2015,403
2016,805
2017,1611
2018,3222
2019,4591
2020,6046
2021,7515
2022,8983
2023,10538
2024,11834
2025,13129
2026,14166
2027,15116
2028,16152
2029,17275
2030,18398
2031,20077
2032,21323
2033,22570
2034,23816
2035,25062
2036,26308
2037,27554
2038,28800
2039,30046
2040,31292
