year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,2474271,63671.418994208565,0,12000,12000,0,5377.16,5377.16,31.0
2020,2506943,72235.77491061506,0,12000,12000,0,3840.32,3840.32,32.1
2021,2543393,87232.01992849205,0,12000,12000,0,2741.24,2741.24,33.4
2022,2587413,102228.26494636905,0,12000,12000,0,1642.17,1642.17,34.7
2023,2623874,117224.50996424604,0,12000,12000,0,821.08,821.08,36.6
2024,2664099,132220.75498212304,0,12000,12000,0,0.0,0.0,37.5
2025,2703069,147217.0,0,12000,12000,0,0.0,0.0,39.6
2026,2737009,215918.8,0,12400,12400,0,0.0,0.0,39.6
2027,2777236,284620.6,0,12800,12800,0,0.0,0.0,39.5
2028,2814948,353322.39999999997,0,13200,13200,0,0.0,0.0,39.4
2029,2852677,422024.19999999995,0,13600,13600,0,0.0,0.0,39.3
2030,2880320,490726.0,0,14000,14000,0,0.0,0.0,39.2
