Year, Ports
2011,1
2012,3
2013,6
2014,12
2015,29
2016,58
2017,117
2018,234
2019,333
2020,439
2021,545
2022,652
2023,765
2024,859
2025,953
2026,1028
2027,1097
2028,1172
2029,1254
2030,1335
2031,1457
2032,1548
2033,1638
2034,1729
2035,1819
2036,1910
2037,2000
2038,2090
2039,2181
2040,2271
