Year, Ports
2011,0
2012,165
2013,195
2014,211
2015,252
2016,313
2017,331
2018,380
2019,437
2020,513
2021,602
2022,706
2023,829
2024,973
2025,1142
2026,1312
2027,1507
2028,1619
2029,1739
2030,1804
2031,1871
2032,1906
2033,1941
2034,1959
2035,1977
2036,1995
2037,2014
2038,2033
2039,2052
2040,2071
2041,2090
2042,2109
2043,2129
2044,2149
2045,2169
