Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
Utility Bills,17866416.08206173,21571516.743732933,25280646.858162142,29085394.544967588,32825311.176440798,36412292.02204114,53400222.1818823,70383888.39317873,87616135.18060993,105060281.25471282,134989044.65621728,132417178.38594887,128692821.21382459,124977932.26869856,121667539.23171496,118335269.40779367,113665531.34961903,96676704.85390827,79745540.75457016,62849419.0867624
Utility Bills (res),13282792.783659823,16039812.216737073,18797740.82825168,21550019.905869883,24307019.25418297,27070493.429909505,39703403.55336601,52334954.76104404,64955029.878479086,77571456.39077638,100882963.55863982,99311492.7037772,96550719.7241824,93795238.03143679,91008788.23478526,88230296.30405076,85305154.09902966,72673869.13170874,60039457.71900935,47431476.733386725
Utility Bills (work),2360787.1216776534,2848897.5086199874,3338206.9311472904,3931726.573287292,4453593.671373376,4810657.230715075,7053677.19333635,9295428.164483108,11799519.765896166,14526391.953916172,17628866.783118725,16889383.8463437,16396861.441489154,15898137.382841129,15827457.857717311,15727793.234688979,14493637.303373242,12185741.990970984,9938532.314459043,7693751.215938735
Utility Bills (pub L2),1496512.148252131,1806216.4811299911,2117140.486921836,2427629.262716257,2738494.3394288383,3050497.174590825,4472446.836795854,5893351.901586023,7316267.548825402,8737867.327517783,11329816.659006247,11147852.472545011,10831170.26259632,10520664.520499201,10221324.589866558,9920986.590512568,9600558.011431856,8192069.520684504,6785319.515937768,5382458.765005412
Utility Bills (DCFC),726324.0284721234,876590.537245881,1027558.6118413386,1176018.8030941566,1326203.911455614,1480644.1868257392,2170694.5983840832,2860153.5660655578,3545317.9874092713,4224565.582502493,5147397.6554525,5068449.3632829655,4914069.785556709,4763892.333921437,4609968.549345826,4456193.278541371,4266181.93578428,3625024.210544041,2982231.205164004,2341732.3724315255
Incremental upfront vehicle cost,8803725.869511744,11003579.298156317,6591815.315716012,3295887.587416713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost,14241090.405379094,24957275.695190918,24978369.055930234,24999525.696751766,25020745.807495736,25042029.57857198,114823208.74644676,114921302.3149893,115019690.16423751,115118373.17703342,119342553.12410957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (res),5043380.997657965,8838219.527907291,8845466.562849468,8852735.33889647,8860025.921271605,8867338.375393875,40657665.38551746,40691367.34167401,40725170.403699026,40759074.87491012,42210374.17504674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (work L2),3437056.415917358,6021783.9908003025,6025269.4226819,6028765.310859152,6032271.686700921,6035788.581670224,27668004.96720908,27684213.78549097,27700471.23022774,27716777.447298706,28414773.923209786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (public L2),3940375.5368152987,6903608.045375198,6907603.880432755,6911611.702995472,6915631.549025873,6919663.454594386,31719680.078680504,31738262.50018018,31756900.66894435,31775594.752214815,32575805.137393806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (DCFC),1820277.4549884726,3193664.1311081224,3200029.1899661142,3206413.344000673,3212816.6504973383,3219239.166913494,14777858.315039702,14807458.687644143,14837147.8613664,14866926.102609789,16141599.888459241,0,0,0,0,0,0,0,0,0
Avoided vehicle gasoline ($),20961914.111961804,26704935.622975912,31785147.45477601,36626487.23830929,45699689.33102488,50090858.6079175,71075102.89338113,93159366.85783857,116855759.22995853,143324366.77865714,144684991.59956527,140706893.85015035,136113055.0384151,131400552.25176138,127112105.62368034,123037257.14657503,100636994.70213059,78451177.60169588,54314145.76819765,29398335.254980292
Avoided vehicle gasoline (gallons),7228246.24550407,8670433.643823348,10058590.96670127,11374685.477735803,12659193.720505506,13875584.101916207,19634006.324138433,25593232.653252356,31754282.39944525,38118182.65389818,38276452.8041178,36834265.405798525,35446108.0829206,34130013.57188607,32845505.329116367,31629114.947705664,25870692.72548344,19911466.396369513,13750416.650176618,7386516.395723691
Carbon Emissions Savings From Avoided Gasoline ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbon Emission Costs Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Carbon Emission Savings Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle O&M Savings,579988.814730666,1630655.3133422132,2727270.4233063385,3871347.360937228,5064443.684938995,6308162.515074146,11748492.5828322,17425144.02291431,23345881.855949946,29518698.383932054,41311987.38077957,40930620.638510406,40512478.75768911,40056128.21372263,39560090.206102915,39022839.36009249,33290940.530136157,27287951.09741147,21004717.314430296,14431813.876666812
Federal EV Tax Credit,17193344.310197607,29457594.853145722,28823478.32988818,28203012.064469844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle sales,2292.4459080263478,4014.0882586553234,4014.0882586553234,4014.0882586553234,4014.08825865532,4014.08825865532,18389.800000000003,18389.800000000003,18389.800000000003,18389.800000000003,20682.245908026336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transmission and Distribution Cost,388523.3426494712,549397.9856128981,612506.4423894279,678493.6696259596,747462.3612239343,983695.0639574463,2434255.737285723,3211850.974500399,3793181.153619819,4401821.132448884,5570279.569778992,4398845.929241226,4379874.148398452,4357308.314401957,4330982.932479329,4300726.5294689145,4266361.465133397,3713313.669163228,3130469.2489504116,2516695.834453314
Distribution Cost,273315.665318466,407017.51417349896,441744.5730079276,478100.1149965732,516143.86060655577,720114.0576833228,2038621.8793546949,2678128.5177119253,3115124.185528867,3572967.0427719834,4485627.684374954,3306429.840287397,3293464.213467413,3277783.7843204606,3259260.9194162893,3237763.295365407,3213153.752840351,2797818.905403359,2359709.094000031,1897945.15638992
Transmission Cost,115207.67733100518,142380.4714393992,170761.86938150035,200393.55462938637,231318.50061737857,263581.0062741234,395633.85793102824,533722.4567884738,678056.968090952,828854.0896768998,1084651.8854040385,1092416.088953829,1086409.934931039,1079524.5300814963,1071722.0130630406,1062963.2341035076,1053207.7122930465,915494.7637598694,770760.154950381,618750.6780633939
Cumulative personal light-duty EV population,19335.55870672339,23349.646965378714,27363.735224034037,31377.82348268936,35391.91174134468,39406.0,57795.8,76185.6,94575.40000000001,112965.20000000001,131355.0,127340.91174134468,123326.82348268936,119312.73522403404,115298.64696537872,111284.5587067234,92894.7587067234,74504.9587067234,56115.15870672339,37725.35870672339
Cumulative personal light-duty LDV population,695046.0,705152.0,717357.0,727465.0,738618.0,749422.0,758832.0,769985.0,780440.0,790901.0,798565.0,788459.0,776254.0,766146.0,754993.0,744189.0,734779.0,723626.0,713171.0,702710.0
EV sales as % of total personal light-duty vehicles,0.0032982650184683426,0.005692514888499676,0.005595663328935695,0.005517912557518676,0.005434593062523956,0.005356245558117216,0.024234349632066127,0.023883322402384465,0.02356337450668854,0.023251709126679575
Peak Demand 5-9 PM,8.511849709096312,10.281377292210419,12.051771454507346,14.026368248716972,16.020670164252557,17.35135242847866,25.44879700263579,33.5462415767929,41.75244119761347,54.44075992850023,66.15772864349812,64.25072298730414,62.4704474491372,60.72819002716816,59.707795948543286,61.735189669651014,55.189689944252045,47.3158094928119,39.218364918654686,31.126250952510997
