Load Profile, Charger Assignment
BaseCase_Ventura_Residential L1_e19controlled_load,Residential L1
BaseCase_Ventura_Residential L2_e19controlled_load,Residential L2
BaseCase_Ventura_Residential MUD_e19controlled_load,Residential L2
BaseCase_Ventura_Public L2_e19controlled_load,Public L2
BaseCase_Ventura_Work_e19controlled_load,Workplace L2
BaseCase_Ventura_Fast_e19controlled_load,DCFC
