Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
Utility Bills,793562.3565493652,958198.7897607507,1122935.9279906224,1290088.575592123,1455592.2351388547,1617302.862502995,2371831.9039723743,3126269.4941364094,3886941.1212495333,4652800.961950875,5801610.165341223,5698529.80663249,5536386.182047644,5375202.835328363,5222588.3425222095,5069466.052416748,4881642.403246201,4142460.9557763627,3407678.055004095,2673370.118365188
Utility Bills (res),666560.951058454,804906.1987250091,943298.9269579744,1081454.367484062,1219774.2690686095,1358485.1595606839,1992326.3187547359,2626129.0680022608,3259471.925445875,3892284.2929067654,4939277.47004702,4860263.493839356,4722520.576249967,4585765.698336515,4448390.74330118,4311277.665346172,4166047.6367913364,3539047.5379608627,2911110.377219007,2282900.1578650605
Utility Bills (work),75909.80239558774,91622.84958009605,107355.92250862527,125684.26484892938,142234.5014495483,154678.90390695713,226818.27124819992,298933.50176284683,377525.3322838822,461710.271590693,543333.5722453289,523888.1404775566,508130.17089552624,492132.93982615566,485786.2211831309,478750.6859479695,446308.06793423276,372743.75426758156,300529.48885864904,228340.20999076645
Utility Bills (pub L2),23204.986227865422,28011.229303930028,32829.70511792435,37622.191132976644,42435.49951251959,47296.24391695769,69348.9696719315,91390.90197348449,113388.19311431545,135337.57119664445,133452.17612409056,130436.23911351015,126097.58988638435,121820.23756569384,118174.98824921323,114514.09685499988,109085.41744623035,89505.99360001455,72143.9714470751,54829.21807987643
Utility Bills (DCFC),27886.616867458117,33658.512151715535,39451.373406098275,45327.752126155,51147.96510817736,56842.555118396376,83338.34429750724,109816.02239781714,136555.6704054606,163468.82625677218,185546.94692478233,183941.9332020673,179637.84501576578,175483.9595999983,170236.38978868534,164923.60426760718,160201.28107440146,141163.66994790357,123894.21747936404,107300.53242948456
Incremental upfront vehicle cost,372202.3879258626,465207.4077736492,278687.6190423508,139342.96098655643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost,412863.259173628,723588.0597366159,724251.7510072595,724917.4333517151,725585.112743204,726254.7951728675,3329932.7929398087,3333018.9338075174,3336114.333097829,3339219.0185860107,3472130.2491656938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (res),213223.18281729068,373660.70480367314,373967.09368388593,374274.40173073934,374582.63170173333,374891.7863626403,1718739.1418450049,1720163.8392705398,1721592.8107883513,1723026.0692207164,1784383.6987485534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (work L2),85791.81934904457,150308.79385778776,150395.79316945295,150483.0534790535,150570.57556958264,150658.3602263832,690544.9415115444,690949.4852249682,691355.2425695319,691762.2171861294,709184.7539656382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (public L2),51475.09160942671,90185.27631467259,90237.4759016719,90289.83208743203,90342.34534174952,90395.01613583013,414326.96490692673,414569.6911349809,414813.1455417191,415057.33031167754,425510.85237938334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (DCFC),62373.16539786604,109433.28476048238,109651.38825224865,109870.14605449027,110089.56013013856,110309.63244801383,506321.744676333,507335.91817702877,508353.1341982265,509373.4018674877,553050.9440721186,0,0,0,0,0,0,0,0,0
Avoided vehicle gasoline ($),886224.1514116722,1129026.6139135628,1343806.924317536,1548488.2438974588,1932083.5006214136,2117732.589980982,3004809.2690824713,3938388.1670373995,4940118.487833203,6059042.301845728,6116455.406621906,5948264.671124056,5754044.4484015675,5554808.723875077,5373499.818666873,5201221.378857987,4254285.358655966,3316414.8593643424,2296059.668652069,1242782.9005864956
Avoided vehicle gasoline (gallons),305594.5349695422,366567.0824394685,425255.3557966886,480896.97015449026,535203.1857677046,586629.5263105213,830057.8091388042,1081974.7711641206,1342423.5021285876,1611447.4207036512,1618109.8959317212,1557137.348461795,1498449.075104575,1442807.4607467733,1388501.2451335588,1337074.9045907422,1093646.6217624592,841729.6597371427,581280.9287726756,312257.010197612
Carbon Emissions Savings From Avoided Gasoline ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbon Emission Costs Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Carbon Emission Savings Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle O&M Savings,24520.666023988426,68940.56113353613,115303.06362554833,163672.14899562043,214113.66743918095,266695.39537414425,496677.439899535,736649.613812682,986940.171497096,1247886.9753065389,1746454.005751353,1730327.8551654846,1712646.8702150546,1693350.4432449057,1672376.052402886,1649659.2067492877,1407352.813854872,1153586.5046170354,887973.319010828,610114.8173697133
Federal EV Tax Credit,726897.2141498546,1245403.0610907162,1218593.9932394482,1192362.0286100276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle sales,96.91962855331394,169.7069237912949,169.7069237912949,169.7069237912949,169.7069237912949,169.7069237912949,777.4000000000001,777.4000000000001,777.4000000000001,777.4000000000001,874.3196285533136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transmission and Distribution Cost,14410.560758781345,20183.023079409108,22617.413465412348,25162.833961337252,27823.244686090446,37958.52689871643,92267.52171089104,125192.31447178488,149230.3437798196,174398.7151082498,222272.6601693519,182410.39986243873,181641.90366451643,180725.0051210713,179652.85526224686,178418.35780326853,177014.1609749938,154160.60684618176,130074.00017040598,104707.42962122016
Distribution Cost,9941.278475296373,14659.61931673913,15993.002530308957,17388.913124316805,18849.644136256546,27733.358326539525,76920.09875704593,104488.51451981417,122927.89205365832,142246.93126239235,179665.19663049973,139489.3291224823,138941.1325322004,138278.34546169965,137495.5807543228,136587.25374589246,135547.57578113052,118021.4470536417,99534.29472785199,80049.02135035335
Transmission Cost,4469.282283484972,5523.4037626699765,6624.41093510339,7773.920837020446,8973.600549833898,10225.16857217691,15347.422953845115,20703.799951970705,26302.451726161304,32151.78384585746,42607.46353885218,42921.07073995644,42700.77113231604,42446.659659371646,42157.27450792407,41831.10405737607,41466.58519386328,36139.15979254005,30539.70544255399,24658.40827086682
Cumulative personal light-duty EV population,817.4653810435254,987.1723048348204,1156.8792286261153,1326.5861524174102,1496.293076208705,1666.0,2443.4,3220.8,3998.2000000000003,4775.6,5553.0,5383.293076208705,5213.586152417411,5043.879228626116,4874.172304834821,4704.465381043527,3927.0653810435265,3149.6653810435264,2372.2653810435263,1594.8653810435262
Cumulative personal light-duty LDV population,50294.0,51025.0,51908.0,52639.0,53446.0,54228.0,54909.0,55716.0,56473.0,57230.0,57784.0,57053.0,56170.0,55439.0,54632.0,53850.0,53169.0,52362.0,51605.0,50848.0
EV sales as % of total personal light-duty vehicles,0.001927061449741797,0.003325956370236059,0.0032693789741715133,0.0032239769712816527,0.003175297006161264,0.00312950733553321,0.014157970460215996,0.013952904013209852,0.013765870415950987,0.013583784728289361
Peak Demand 5-9 PM,0.4279583541638674,0.5168513880382929,0.6057614633621381,0.6986872234512271,0.7920004886119443,0.8722635433090639,1.279284959016432,1.6863063747237965,2.0954663501420634,2.5927620840972185,3.2114597800168614,3.131467503986367,3.042189396338932,2.95418139804338,2.8908982902929488,2.9343262233940886,2.679304889903819,2.280180894190522,1.873159478483166,1.4664179515575169
Energy Supply Cost,197219.8145795099,247741.69192046768,285338.4632725452,328058.97809802595,383495.71608038736,471052.5074719833,744541.4508868182,1052575.0479889568,1387307.6173160444,1732037.5087189677,2310852.228502153,2328253.331071648,2337107.4106458696,2342539.699903151,2345958.224236893,2346135.972693877,2344541.8462571003,2051129.0649011151,1738282.4786230386,1403348.5260939165
Energy Cost,120632.25285578346,160743.2668449239,191773.65906915156,233854.8569807394,285531.65874413255,363038.5657921929,585219.1304218266,860205.2877710945,1166428.2032712095,1475200.3657081057,2017413.3332581997,2055630.373644023,2066838.6335696846,2074839.9840124943,2079662.9010362865,2081144.364403566,2078227.9600943585,1818540.8846861497,1539719.5805011732,1241796.9883033854
GHG Cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capacity Cost,76587.56172372623,86998.42507554419,93564.80420339243,94204.12111728742,97964.05733625407,108013.9416797891,159322.3204649918,192369.76021786156,220879.41404483782,256837.14301086066,293438.89524394553,272622.9574276255,270268.7770761899,267699.71589066193,266295.3232006021,264991.6082903059,266313.8861627433,232588.1802149644,198562.89812186552,161551.5377905317
