Load Profile, Charger Assignment
Trinity_Residential_L2,Residential L2
Trinity_Residential_MUD,Residential L2
Trinity_Public_L2,Public L2
Trinity_Workplace_L2,Workplace L2
Trinity_Public_DCFC,DCFC
