year, ldv_population, total_population, vehicle_miles_traveled, ldv_price, new_vehicle_mpg,BEV100_population,PHEV10_population,PHEV20_population,PHEV40_population,BEV100_vmt,PHEV10_vmt,PHEV20_vmt,PHEV40_vmt
2011,12,8716,9833,0.0,0.0,8.399999999999999,1.2000000000000002,1.2000000000000002,1.2000000000000002,9833,3244.8900000000003,4916.5,7374.75
2012,34,8838,9833,0.0,0.0,23.799999999999997,3.4000000000000004,3.4000000000000004,3.4000000000000004,9833,3244.8900000000003,4916.5,7374.75
2013,69,8960,9833,0.0,0.0,48.3,6.9,6.9,6.9,9833,3244.8900000000003,4916.5,7374.75
2014,106,9085,9833,0.0,0.0,74.19999999999999,10.600000000000001,10.600000000000001,10.600000000000001,9833,3244.8900000000003,4916.5,7374.75
2015,111,9211,9833,15603.57,0.0,77.69999999999999,11.100000000000001,11.100000000000001,11.100000000000001,9833,3244.8900000000003,4916.5,7374.75
2016,130,9340,9833,11258.79,0.0,91.0,13.0,13.0,13.0,9833,3244.8900000000003,4916.5,7374.75
2017,171,9470,9833,6914.0,29.9,119.69999999999999,17.1,17.1,17.1,9833,3244.8900000000003,4916.5,7374.75
2018,277,9601,9833,5377.16,31.0,193.89999999999998,27.700000000000003,27.700000000000003,27.700000000000003,9833,3244.8900000000003,4916.5,7374.75
2019,283,9735,9833,3840.32,32.1,198.1,28.3,28.3,28.3,9833,3244.8900000000003,4916.5,7374.75
2020,373,9863,9833,2741.24,33.4,261.09999999999997,37.300000000000004,37.300000000000004,37.300000000000004,9833,3244.8900000000003,4916.5,7374.75
2021,464,10007,9833,1642.17,34.7,324.79999999999995,46.400000000000006,46.400000000000006,46.400000000000006,9833,3244.8900000000003,4916.5,7374.75
2022,555,10180,9833,821.08,36.6,388.5,55.5,55.5,55.5,9833,3244.8900000000003,4916.5,7374.75
2023,651,10323,9833,0.0,37.5,455.7,65.10000000000001,65.10000000000001,65.10000000000001,9833,3244.8900000000003,4916.5,7374.75
2024,731,10482,9833,0.0,39.6,511.7,73.10000000000001,73.10000000000001,73.10000000000001,9833,3244.8900000000003,4916.5,7374.75
2025,811,10635,9833,0.0,39.6,567.6999999999999,81.10000000000001,81.10000000000001,81.10000000000001,9833,3244.8900000000003,4916.5,7374.75
2026,875,10769,9833,0.0,39.5,612.5,87.5,87.5,87.5,9833,3244.8900000000003,4916.5,7374.75
2027,934,10927,9833,0.0,39.4,653.8,93.4,93.4,93.4,9833,3244.8900000000003,4916.5,7374.75
2028,998,11075,9833,0.0,39.3,698.5999999999999,99.80000000000001,99.80000000000001,99.80000000000001,9833,3244.8900000000003,4916.5,7374.75
2029,1067,11224,9833,0.0,39.2,746.9,106.7,106.7,106.7,9833,3244.8900000000003,4916.5,7374.75
2030,1136,11332,9833,0.0,39.1,795.1999999999999,113.60000000000001,113.60000000000001,113.60000000000001,9833,3244.8900000000003,4916.5,7374.75
2031,1240,11490,9833,0.0,39.0,868.0,124.0,124.0,124.0,9833,3244.8900000000003,4916.5,7374.75
2032,1317,11650,9833,0.0,39.0,921.9,131.70000000000002,131.70000000000002,131.70000000000002,9833,3244.8900000000003,4916.5,7374.75
2033,1394,11812,9833,0.0,38.9,975.8,139.4,139.4,139.4,9833,3244.8900000000003,4916.5,7374.75
2034,1471,11976,9833,0.0,38.8,1029.7,147.1,147.1,147.1,9833,3244.8900000000003,4916.5,7374.75
2035,1548,12143,9833,0.0,38.7,1083.6,154.8,154.8,154.8,9833,3244.8900000000003,4916.5,7374.75
2036,1625,12312,9833,0.0,38.6,1137.5,162.5,162.5,162.5,9833,3244.8900000000003,4916.5,7374.75
2037,1702,12483,9833,0.0,38.6,1191.3999999999999,170.20000000000002,170.20000000000002,170.20000000000002,9833,3244.8900000000003,4916.5,7374.75
2038,1779,12657,9833,0.0,38.5,1245.3,177.9,177.9,177.9,9833,3244.8900000000003,4916.5,7374.75
2039,1856,12833,9833,0.0,38.4,1299.1999999999998,185.60000000000002,185.60000000000002,185.60000000000002,9833,3244.8900000000003,4916.5,7374.75
2040,1933,13011,9833,0.0,0.0,1353.1,193.3,193.3,193.3,9833,3244.8900000000003,4916.5,7374.75
