year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,77425,1590.7366612599028,0,12000,12000,0,5377.16,5377.16,31.0
2020,78448,1804.7044846807244,0,12000,12000,0,3840.32,3840.32,32.1
2021,79588,2179.3635877445795,0,12000,12000,0,2741.24,2741.24,33.4
2022,80966,2554.0226908084346,0,12000,12000,0,1642.17,1642.17,34.7
2023,82107,2928.6817938722897,0,12000,12000,0,821.08,821.08,36.6
2024,83366,3303.340896936145,0,12000,12000,0,0.0,0.0,37.5
2025,84585,3678.0,0,12000,12000,0,0.0,0.0,39.6
2026,85647,5394.6,0,12400,12400,0,0.0,0.0,39.6
2027,86906,7111.200000000001,0,12800,12800,0,0.0,0.0,39.5
2028,88086,8827.800000000001,0,13200,13200,0,0.0,0.0,39.4
2029,89267,10544.400000000001,0,13600,13600,0,0.0,0.0,39.3
2030,90132,12261.0,0,14000,14000,0,0.0,0.0,39.2
