year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,696440,7462.362793196945,0,12000,12000,0,5377.16,5377.16,31.0
2020,705637,8466.115056737688,0,12000,12000,0,3840.32,3840.32,32.1
2021,715896,10223.692045390151,0,12000,12000,0,2741.24,2741.24,33.4
2022,728287,11981.269034042614,0,12000,12000,0,1642.17,1642.17,34.7
2023,738550,13738.846022695077,0,12000,12000,0,821.08,821.08,36.6
2024,749872,15496.42301134754,0,12000,12000,0,0.0,0.0,37.5
2025,760841,17254.0,0,12000,12000,0,0.0,0.0,39.6
2026,770394,18979.4,0,12400,12400,0,0.0,0.0,39.6
2027,781717,20704.800000000003,0,12800,12800,0,0.0,0.0,39.5
2028,792332,22430.200000000004,0,13200,13200,0,0.0,0.0,39.4
2029,802952,24155.600000000006,0,13600,13600,0,0.0,0.0,39.3
2030,810732,25881.0,0,14000,14000,0,0.0,0.0,39.2
