Load Profile, Charger Assignment
Contra Costa_Residential_L2,Residential L2
Contra Costa_Residential_MUD,Residential L2
Contra Costa_Public_L2,Public L2
Contra Costa_Workplace_L2,Workplace L2
Contra Costa_Public_DCFC,DCFC
